"id";"name_pt";"name_en";"code";"name_ascii_pt"
10;"antígua e barbuda";"antigua and barbuda";"ANB";"antigua e barbuda"
53;"república democrática do congo";"congo democratic republic";"COD";"republica democratica do congo"
294;"kuweit";"kuwait";"KWT";"kuweit"
295;"uzbekistan";"uzbekistan";"UZB";"uzbekistan"
296;"trinidad e tobago";"trinidad and tobago";"TRT";"trinidad e tobago"
297;"britsh indian ocean";"british indian ocean territory";"";"britsh indian ocean"
299;"timor";"east timor";"";"timor"
300;"iemem";"yemen";"";"iemem"
301;"quirgistao";"kyrgyzstan";"";"quirgistao"
302;"burkina fasso";"burkina faso";"";"burkina fasso"
110;"ilhas cocos (keeling)";"cocos (keeling) islands";"CCK";"ilhas cocos keeling"
113;"ilhas falklands (ilhas malvinas)";"falkland islands (islas malvinas)";"FLK";"ilhas falklands ilhas malvinas"
270;"grã-bretanha";"united kingdom";"GBR";"gra bretanha"
16;"jap?o";"japan";"";"jap?o"
14;"argentina";"argentina";"ARG";"argentina"
212;"são vicente e granadinas";"saint vincent and the grenadines";"VCT";"sao vicente e granadinas"
28;"bermudas";"bermuda";"BER";"bermudas"
36;"burquina faso";"burkina faso";"BKF";"burquina faso"
56;"costa do marfim";"ivory coast";"CMF";"costa do marfim"
67;"eslovénia";"slovenia";"SVN";"eslovenia"
85;"guadalupe";"guadeloupe";"GDL";"guadalupe"
93;"guiné bissau";"guinea-bissau";"GNB";"guine bissau"
129;"islândia";"iceland";"ISL";"islandia"
142;"letónia";"latvia";"LET";"letonia"
152;"malásia";"malaysia";"MAL";"malasia"
164;"micronésia";"micronesia";"FSM";"micronesia"
176;"nigéria";"nigeria";"NGA";"nigeria"
198;"república dominicana";"dominican republic";"DOM";"republica dominicana"
