source;target;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
ceara;ceara;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;8;14;13;16;32;42;49;76;64;118;87;106;120;163;142;233;245;242
minas gerais;sao paulo;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;2;0;0;3;3;8;2;6;4;7;9;8;15;17;12;14;21;32;37;34;33;41;48;66;62;98;113;106;126;144;123;144;153;135;146;134;152;173;171;200;206
rio grande do norte;rio grande do norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;13;18;18;39;27;57;63;76;75;78;100;101;133;155
parana;sao paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;5;1;1;3;2;1;4;4;1;3;7;7;3;10;4;2;3;9;7;14;21;15;14;36;43;37;39;62;75;79;106;127;96;128;108;99;128;130;144;132;140;138
goias;goias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;3;2;1;5;7;19;41;44;39;64;67;89;100;135
para;para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;2;0;2;2;2;5;8;5;4;6;7;10;16;20;12;23;48;42;49;62;73;106;110;122
rio de janeiro;sao paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;2;5;6;2;4;9;2;7;5;10;6;11;7;15;21;30;20;25;31;35;41;51;59;77;72;97;111;141;140;119;130;140;161;90;126;103;74;88;108;95;119;138;112
rio grande do sul;sao paulo;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;7;1;1;4;1;4;3;6;3;5;2;16;11;23;13;11;19;20;22;38;34;41;38;51;60;79;72;78;93;92;119;100;95;84;80;75;76;95;81;70;80
santa catarina;sao paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;1;1;0;1;0;0;4;7;4;2;2;3;5;9;10;12;9;14;15;15;33;21;32;32;40;36;53;36;63;59;60;62;62;66;65;79
minas gerais;rio de janeiro;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;2;1;1;2;3;0;5;6;5;7;10;11;5;11;9;9;15;22;23;34;30;44;46;38;44;64;47;58;57;57;50;55;68
espirito santo;espirito santo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;5;10;15;8;16;17;32;25;25;36;42;64
amazonas;amazonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;2;4;1;1;1;0;3;4;1;1;3;7;5;1;7;10;11;9;10;9;16;16;21;14;32;27;43;45;60
sao paulo;minas gerais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;1;0;2;3;2;2;3;7;4;1;3;4;8;8;8;11;10;12;13;25;34;17;24;22;25;35;36;36;32;50;52;56
sao paulo;parana;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3;2;1;0;0;0;0;0;0;0;0;0;1;3;0;1;0;5;0;4;3;6;7;10;10;8;14;14;24;24;21;18;27;29;32;30;36;41;48
sao paulo;rio de janeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;2;2;1;3;3;1;3;3;4;13;4;11;13;13;17;22;17;10;15;14;16;21;34;18;36;42;42;32;41;40;65;58;60;58;57;59;49;47
ceara;sao paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;1;2;2;0;3;1;0;7;0;3;4;4;10;8;5;6;14;11;15;10;17;18;21;27;28;24;26;29;14;29;25;36;48;26;41;47
rio de janeiro;parana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;7;1;6;4;9;15;13;13;17;15;14;22;32;30;21;30;22;40;39;28;32;34;46
mato grosso do sul;mato grosso do sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;14;24;34;39;46
