Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1310,"fartura,sao paulo,brazil",,fartura,sao paulo,brazil,-23.388,-49.51
1311,"piritiba,bahia,brazil",,piritiba,bahia,brazil,-11.73,-40.555
1312,"itaguacu,espirito santo,brazil",,itaguacu,espirito santo,brazil,-19.802,-40.856
1313,"candeias,minas gerais,brazil",,candeias,minas gerais,brazil,-20.767,-45.276
1314,"ibirama,santa catarina,brazil",,ibirama,santa catarina,brazil,-27.057,-49.518
1315,"piratininga,sao paulo,brazil",,piratininga,sao paulo,brazil,-22.413,-49.135
1316,"inhapim,minas gerais,brazil",,inhapim,minas gerais,brazil,-19.549,-42.12
1317,"carmo da mata,minas gerais,brazil",,carmo da mata,minas gerais,brazil,-20.558,-44.871
1318,"guaraci,sao paulo,brazil",,guaraci,sao paulo,brazil,-20.499,-48.945
1319,"guara,sao paulo,brazil",,guara,sao paulo,brazil,-20.428,-47.824
1320,"moreno,pernambuco,brazil",,moreno,pernambuco,brazil,-8.119,-35.092
1321,"lapa,parana,brazil",,lapa,parana,brazil,-25.77,-49.716
1322,"lambayeque,lambayeque,peru",,lambayeque,lambayeque,peru,-6.70111,-79.90611
1323,"arroio do tigre,rio grande do sul,brazil",,arroio do tigre,rio grande do sul,brazil,-29.333,-53.093
1324,"pedra azul,minas gerais,brazil",,pedra azul,minas gerais,brazil,-16.005,-41.297
1325,"gurjao,paraiba,brazil",,gurjao,paraiba,brazil,-7.247,-36.489
1326,"lupionopolis,parana,brazil",,lupionopolis,parana,brazil,-22.755,-51.657
1327,"castelo do piaui,piaui,brazil",,castelo do piaui,piaui,brazil,-5.322,-41.553
1328,"lagoa seca,paraiba,brazil",,lagoa seca,paraiba,brazil,-7.171,-35.854
1329,"gentio do ouro,bahia,brazil",,gentio do ouro,bahia,brazil,-11.429,-42.506
1330,"pesqueira,pernambuco,brazil",,pesqueira,pernambuco,brazil,-8.358,-36.696
1331,"marcelino ramos,rio grande do sul,brazil",,marcelino ramos,rio grande do sul,brazil,-27.462,-51.906
1332,"cairo,al qāhirah,egypt",,cairo,al qāhirah,egypt,30.06263,31.24967
1333,"caldas,minas gerais,brazil",,caldas,minas gerais,brazil,-21.924,-46.386
1334,"caicara,rio grande do sul,brazil",,caicara,rio grande do sul,brazil,-27.274,-53.432
1335,"sao joao batista,santa catarina,brazil",,sao joao batista,santa catarina,brazil,-27.276,-48.849
1336,"sapucaia do sul,rio grande do sul,brazil",,sapucaia do sul,rio grande do sul,brazil,-29.839,-51.144
1337,"paraguacu,minas gerais,brazil",,paraguacu,minas gerais,brazil,-21.547,-45.738
1338,"sao sebastiao do cai,rio grande do sul,brazil",,sao sebastiao do cai,rio grande do sul,brazil,-29.587,-51.376
1339,"crateus,ceara,brazil",,crateus,ceara,brazil,-5.178,-40.678
1340,"irai de minas,minas gerais,brazil",,irai de minas,minas gerais,brazil,-18.984,-47.461
1341,"rio verde de mato grosso,mato grosso do sul,brazil",,rio verde de mato grosso,mato grosso do sul,brazil,-18.918,-54.844
1342,"jaguaruna,santa catarina,brazil",,jaguaruna,santa catarina,brazil,-28.615,-49.026
1343,"pitangui,minas gerais,brazil",,pitangui,minas gerais,brazil,-19.683,-44.89
1344,"taipu,rio grande do norte,brazil",,taipu,rio grande do norte,brazil,-5.622,-35.597
1345,"tambau,sao paulo,brazil",,tambau,sao paulo,brazil,-21.705,-47.274
