name;name_ascii;abbr
faculdade de medicina de são josé do rio preto;faculdade de medicina de sao jose do rio preto;famerp
faculdade de medicina do abc;faculdade de medicina do abc;fmabc
faculdade de saúde, ciências humanas e tecnológicas do piauí;faculdade de saude, ciencias humanas e tecnologicas do piaui;novafapi
faculdade de são bento;faculdade de sao bento;fsb
faculdade de tecnologia e ciências;faculdade de tecnologia e ciencias;ftc
faculdade de tecnologia senai cimatec;faculdade de tecnologia senai cimatec;cimatec
faculdade escola paulista de direito;faculdade escola paulista de direito;facepd
faculdade evangelica do parana;faculdade evangelica do parana;fepar
faculdade fia de administração e negócios;faculdade fia de administracao e negocios;ffia
faculdade infórium de tecnologia;faculdade inforium de tecnologia;fit-mg
faculdade ingá;faculdade inga;uningá
faculdade integral diferencial;faculdade integral diferencial;facid
faculdade jesuíta de filosofia e teologia;faculdade jesuita de filosofia e teologia;faje
faculdade maria milza;faculdade maria milza;famam
faculdade meridional;faculdade meridional;imed
faculdade novos horizontes;faculdade novos horizontes;fnh
faculdade pedro leopoldo;faculdade pedro leopoldo;fpl
faculdade pernambucana de saúde;faculdade pernambucana de saude;fps
faculdade satc;faculdade satc;fasatc
faculdade teológica batista do paraná;faculdade teologica batista do parana;ftbp
faculdade unida de vitória;faculdade unida de vitoria;fuv
faculdade vale do cricaré;faculdade vale do cricare;fvc
faculdades integradas de taquara;faculdades integradas de taquara;faccat-rs
faculdades integradas do brasil;faculdades integradas do brasil;unibrasil
faculdades integradas do sudoeste mineiro;faculdades integradas do sudoeste mineiro;fesp
faculdades pequeno príncipe;faculdades pequeno principe;fpp
fiam-faam;fiam-faam;unifiam-fa
fundação jorge duprat figueiredo de segurança e med do trabalho;fundacao jorge duprat figueiredo de seguranca e med do trabalho;fundacentr
fundação educacional monsenhor messias;fundacao educacional monsenhor messias;unifemm
fundação joaquim nabuco;fundacao joaquim nabuco;fjn
fundação oswaldo cruz;fundacao oswaldo cruz;fiocruz
fundação universidade federal do tocantins;fundacao universidade federal do tocantins;uft
fundação vale do taquari de educacao e desenvolvimento social - fuvates;fundacao vale do taquari de educacao e desenvolvimento social - fuvates;univates
fundação visconde de cairu;fundacao visconde de cairu;fvc
fundação santa casa de misericórdia do pará;fundacao santa casa de misericordia do para;fscmpa
fundação antonio prudente - hospital a. c. camargo;fundacao antonio prudente - hospital a. c. camargo;fap
fundação cesgranrio;fundacao cesgranrio;cesgranrio
fundação de ensino eurípides soares da rocha;fundacao de ensino euripides soares da rocha;feesr
fundação de ensino e pesquisa em ciências da saúde;fundacao de ensino e pesquisa em ciencias da saude;fepecs
fundação educacional de barretos;fundacao educacional de barretos;feb
fundação estadual de pesquisa agropecuária;fundacao estadual de pesquisa agropecuaria;fepagro
fundação getúlio vargas/rj;fundacao getulio vargas/rj;fgv/rj
fundação getúlio vargas/sp;fundacao getulio vargas/sp;fgv/sp
fundação instituto capixaba de pesq.em cont.econ.e finanças;fundacao instituto capixaba de pesq.em cont.econ.e financas;fucape
fundação joão pinheiro;fundacao joao pinheiro;fjp
fundação pio xii - hospital de câncer de barretos;fundacao pio xii - hospital de cancer de barretos;hcb
fundação universidade de passo fundo;fundacao universidade de passo fundo;fupf
fundação universidade de pernambuco;fundacao universidade de pernambuco;fesp/upe
fundação universidade federal de ciências da saúde de porto alegre;fundacao universidade federal de ciencias da saude de porto alegre;ufcspa
fundação universidade federal de mato grosso do sul;fundacao universidade federal de mato grosso do sul;ufms
fundação universidade federal de roraima;fundacao universidade federal de roraima;ufrr
fundação universidade federal de sergipe;fundacao universidade federal de sergipe;fufse
fundação universidade federal do abc;fundacao universidade federal do abc;ufabc
fundação universidade federal do pampa;fundacao universidade federal do pampa;unipampa
fundação universidade federal do piauí;fundacao universidade federal do piaui;fufpi
fundação universitária de cardiologia;fundacao universitaria de cardiologia;fuc
fundo de defesa da citricultura;fundo de defesa da citricultura;fundecitrus
hospital de clínicas de porto alegre;hospital de clinicas de porto alegre;hcpa
instituto de ensino e pesquisa da santa casa de belo horizonte;instituto de ensino e pesquisa da santa casa de belo horizonte;iepsc
instituto latino americano pesq e ens odontologico ilapeo ltda;instituto latino americano pesq e ens odontologico ilapeo ltda;ilapeo
instituto nac. metrologia, normalização e qualidade industrial;instituto nac. metrologia, normalizacao e qualidade industrial;inmetro
instituição toledo de ensino;instituicao toledo de ensino;ite
instituto agronômico do paraná;instituto agronomico do parana;iapar
instituto agronômico;instituto agronomico;iac
instituto biológico;instituto biologico;ibsp
instituto brasiliense de direito público;instituto brasiliense de direito publico;idp
instituto butantan;instituto butantan;ibu
instituto de assist. médica ao servidor público estadual;instituto de assist. medica ao servidor publico estadual;iamspe
instituto de botanica;instituto de botanica;ibt
instituto de educação tecnológica;instituto de educacao tecnologica;ietec
instituto de engenharia nuclear;instituto de engenharia nuclear;ien
instituto de ensino e pesquisa;instituto de ensino e pesquisa;insper
instituto de ensino superior e pesquisa;instituto de ensino superior e pesquisa;inesp
instituto de física teórica/unesp;instituto de fisica teorica/unesp;ift/unesp
instituto de medicina integral professor fernando figueira;instituto de medicina integral professor fernando figueira;imip
instituto de pesca - apta - sec. de agr. e abast. - sp;instituto de pesca - apta - sec. de agr. e abast. - sp;ip
instituto de pesq.tecnológicas do estado de são paulo;instituto de pesq.tecnologicas do estado de sao paulo;ipt
instituto de pesquisa econômica aplicada;instituto de pesquisa economica aplicada;ipea
instituto de pesquisa jardim botanico do rio de janeiro;instituto de pesquisa jardim botanico do rio de janeiro;jbrj
instituto de pesquisas ecológicas;instituto de pesquisas ecologicas;ipê
instituto de pesquisas energéticas e nucleares;instituto de pesquisas energeticas e nucleares;ipen
instituto de radioproteção e dosimetria;instituto de radioprotecao e dosimetria;ird
instituto de tecnologia de alimentos;instituto de tecnologia de alimentos;ital
instituto de tecnologia para o desenvolvimento;instituto de tecnologia para o desenvolvimento;lactec
instituto de zootecnia iz/apta-saa/sp;instituto de zootecnia iz/apta-saa/sp;iz/apta
instituto do patrimônio histórico e artístico nacional;instituto do patrimonio historico e artistico nacional;iphan
instituto educatiehoog de ensino e pesquisa ltda;instituto educatiehoog de ensino e pesquisa ltda;educatie
instituto evandro chagas;instituto evandro chagas;iec
instituto federal de educação, ciencia e tecnologia do piauí;instituto federal de educacao, ciencia e tecnologia do piaui;ifpi
instituto federal de educação, ciência e tecnologia da paraíba;instituto federal de educacao, ciencia e tecnologia da paraiba;ifpb
instituto federal de educação, ciência e tecnologia de goiás;instituto federal de educacao, ciencia e tecnologia de goias;ifg
