"name";"name_ascii";"abbr";"latitude";"longitude"
"faculdade estadual de ciências econômicas de apucarana";"faculdade estadual de ciencias economicas de apucarana";"";-23.551;-51.461
"faculdades integradas de aracruz";"faculdades integradas de aracruz";"";-19.82;-40.273
"instituto de ensino superior de itapira";"instituto de ensino superior de itapira";"";-22.436;-46.822
"instituto federal de educação, ciência e tecnologia do sul de minas gerais";"instituto federal de educacao, ciencia e tecnologia do sul de minas gerais";"";-22.317;-46.328
"faculdade presidente antônio carlos de governador valadares";"faculdade presidente antonio carlos de governador valadares";"";-18.851;-41.949
"faculdades da fundação de ensino de mococa";"faculdades da fundacao de ensino de mococa";"";-21.468;-47.005
"faculdade uberlandense de núcleos integrados de ensino, serviço social e aprendizagem";"faculdade uberlandense de nucleos integrados de ensino, servico social e aprendizagem";"";-18.919;-48.277
"instituto de educação e ensino superior de samambaia";"instituto de educacao e ensino superior de samambaia";"";-15.78;-47.93
"faculdade de tecnologia senai florianópolis";"faculdade de tecnologia senai florianopolis";"";-27.597;-48.549
"faculdade doutor leocádio josé correia";"faculdade doutor leocadio jose correia";"";-25.428;-49.273
"faculdade integrada de araguatins";"faculdade integrada de araguatins";"";-5.651;-48.124
"faculdade maurício de nassau de caruaru";"faculdade mauricio de nassau de caruaru";"";-8.283;-35.976
"faculdade padre anchieta de várzea paulista";"faculdade padre anchieta de varzea paulista";"";-23.211;-46.828
"faculdade de tecnologia senac blumenau";"faculdade de tecnologia senac blumenau";"";-26.919;-49.066
"faculdade anchieta";"faculdade anchieta";"";-23.694;-46.565
"pontifícia universidade católica de goiás";"pontificia universidade catolica de goias";"";-16.679;-49.254
"pontifícia universidade católica de são paulo";"pontificia universidade catolica de sao paulo";"";-23.548;-46.636
"universidade de mogi das cruzes";"universidade de mogi das cruzes";"";-23.523;-46.188
"universidade guarulhos";"universidade guarulhos";"";-23.463;-46.533
"centro universitário de maringá - ceumar";"centro universitario de maringa - ceumar";"";-23.425;-51.939
"universidade federal de alagoas";"universidade federal de alagoas";"ufal";-9.666;-35.735
"faculdade praia grande";"faculdade praia grande";"";-24.006;-46.403
"faculdade estácio de sá de santa catarina";"faculdade estacio de sa de santa catarina";"";-27.615;-48.628
