id,name,status,city,latitude,longitude,name_simple
4610,"22004017 UNIVERSIDADE ESTADUAL VALE DO ACARAÚ (UVA-CE)",1,"Sobral - CE",-3.674,-40.239,NULL
3049,"22021019 INSTITUTO SUPERIOR DE TEOLOGIA APLICADA (INTA)",1,"Sobral - CE",-3.674,-40.239,NULL
701066,"33004170 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/SOROCABA (UNESP/SOR)",1,"Sorocaba - SP",-23.502,-47.458,NULL
2513,"33065012 UNIVERSIDADE DE SOROCABA (UNISO)",1,"Sorocaba - SP",-23.502,-47.458,NULL
4464,"50002015 UNIVERSIDADE DO ESTADO DE MATO GROSSO (UNEMAT)",1,"Tangará da Serra - MT",-14.619,-57.486,NULL
4270,"42057019 FACULDADES INTEGRADAS DE TAQUARA (FACCAT-RS)",1,"Taquara - RS",-29.651,-50.781,NULL
4421,"33021015 UNIVERSIDADE DE TAUBATÉ (UNITAU)",1,"Taubaté - SP",-23.026,-45.555,NULL
5140,"21001014 FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ (FUFPI)",1,"Teresina - PI",-5.089,-42.802,NULL
2838,"21003017 INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ (IFPI)",1,"Teresina - PI",-5.089,-42.802,NULL
2585,"21005010 FACULDADE DE SAÚDE, CIÊNCIAS HUMANAS E TECNOLÓGICAS DO PIAUÍ (NOVAFAPI)",1,"Teresina - PI",-5.089,-42.802,NULL
4496,"21002010 UNIVERSIDADE ESTADUAL DO PIAUÍ (UESPI)",1,"Teresina - PI",-5.089,-42.802,NULL
2769,"21009015 FACULDADE INTEGRAL DIFERENCIAL (FACID)",1,"Teresina - PI",-5.089,-42.802,NULL
5288,"32021011 UNIVERSIDADE VALE DO RIO VERDE (UNINCOR)",1,"Três Corações - MG",-21.697,-45.253,NULL
4187,"41008014 UNIVERSIDADE DO SUL DE SANTA CATARINA (UNISUL)",1,"Tubarão - SC",-28.467,-49.007,NULL
1140221,"33004188 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/TUPÃ (UNESP/TUPÃ)",1,"Tupã - SP",-21.935,-50.514,NULL
4375,"32012012 Universidade Federal do Triângulo Mineiro (UFTM)",1,"Uberaba - MG",-19.748,-47.932,NULL
4985,"32048017 INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO (IFTM)",1,"Uberaba - MG",-19.748,-47.932,NULL
2446,"32036019 UNIVERSIDADE DE UBERABA (UNIUBE)",1,"Uberaba - MG",-19.748,-47.932,NULL
2737,"32006012 UNIVERSIDADE FEDERAL DE UBERLÂNDIA (UFU)",1,"Uberlândia - MG",-18.919,-48.277,NULL
4005,"40028011 UNIVERSIDADE PARANAENSE (UNIPAR)",1,"Umuarama - PR",-23.766,-53.325,NULL
5139,"42046017 FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA (UNIPAMPA)",1,"Uruguaiana - RS",-29.755,-57.088,NULL
2318,"31027016 UNIVERSIDADE SEVERINO SOMBRA (USS)",1,"Vassouras - RJ",-22.404,-43.663,NULL
5286,"32002017 UNIVERSIDADE FEDERAL DE VIÇOSA (UFV)",1,"Viçosa - MG",-20.754,-42.882,NULL
4420,"30011019 UNIVERSIDADE VILA VELHA (UVV)",1,"Vila Velha - ES",-20.33,-40.292,NULL
5121,"30007011 FUNDAÇÃO INSTITUTO CAPIXABA DE PESQ.EM CONT.ECON.E FINANÇAS (FUCAPE)",1,"Vitória - ES",-20.319,-40.338,NULL
3346,"30014018 FACULDADE UNIDA DE VITÓRIA (FUV)",1,"Vitória - ES",-20.319,-40.338,NULL
5202,"30004012 Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES)",1,"Vitória - ES",-20.319,-40.338,NULL
5051,"30013011 ESCOLA SUPER. DE CIÊNC DA ST CASA DE MISERICORDIA DE VITORIA (EMESCAM)",1,"Vitória - ES",-20.319,-40.338,NULL
5071,"30010012 FACULDADE DE DIREITO DE VITORIA (FDV)",1,"Vitória - ES",-20.319,-40.338,NULL
4349,"30001013 UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO (UFES)",1,"Vitória - ES",-20.319,-40.338,NULL
4440,"28006011 UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA (UESB)",1,"Vitória da Conquista - BA",-14.866,-40.839,NULL
4172,"31067018 CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UniFOA)",1,"Volta Redonda - RJ",-22.523,-44.104,NULL
