name;name_ascii;abbr;latitude;longitude
fundação instituto capixaba de pesq.em cont.econ.e finanças;fundacao instituto capixaba de pesq.em cont.econ.e financas;fucape;-20.319;-40.338
fundação joão pinheiro;fundacao joao pinheiro;fjp;-19.817;-43.956
fundação joaquim nabuco;fundacao joaquim nabuco;fjn;-8.054;-34.881
fundação oswaldo cruz;fundacao oswaldo cruz;fiocruz;-25.428;-49.273
fundação pio xii - hospital de câncer de barretos;fundacao pio xii - hospital de cancer de barretos;hcb;-20.557;-48.568
fundação santa casa de misericórdia do pará;fundacao santa casa de misericordia do para;fscmpa;-1.456;-48.504
fundação universidade de passo fundo;fundacao universidade de passo fundo;fupf;-28.263;-52.407
fundação universidade de pernambuco;fundacao universidade de pernambuco;fesp/upe;-8.054;-34.881
fundação universidade federal de mato grosso do sul;fundacao universidade federal de mato grosso do sul;ufms;-20.443;-54.646
fundação universidade federal de roraima;fundacao universidade federal de roraima;ufrr;2.82;-60.673
fundação universidade federal de sergipe;fundacao universidade federal de sergipe;fufse;-11.015;-37.206
fundação universidade federal do pampa;fundacao universidade federal do pampa;unipampa;-29.755;-57.088
fundação universidade federal do piauí;fundacao universidade federal do piaui;fufpi;-5.089;-42.802
fundação universitária de cardiologia;fundacao universitaria de cardiologia;fuc;-30.033;-51.23
fundação vale do taquari de educacao e desenvolvimento social - fuvates;fundacao vale do taquari de educacao e desenvolvimento social - fuvates;univates;-29.467;-51.961
fundação visconde de cairu;fundacao visconde de cairu;fvc;-12.971;-38.511
fundo de defesa da citricultura;fundo de defesa da citricultura;fundecitrus;-21.794;-48.176
hospital de clínicas de porto alegre;hospital de clinicas de porto alegre;hcpa;-30.033;-51.23
instituição toledo de ensino;instituicao toledo de ensino;ite;-22.315;-49.061
instituto agronômico;instituto agronomico;iac;-22.906;-47.061
instituto agronômico do paraná;instituto agronomico do parana;iapar;-23.31;-51.163
instituto biológico;instituto biologico;ibsp;-23.548;-46.636
instituto brasiliense de direito público;instituto brasiliense de direito publico;idp;-15.78;-47.93
instituto butantan;instituto butantan;ibu;-23.548;-46.636
instituto de assist. médica ao servidor público estadual;instituto de assist. medica ao servidor publico estadual;iamspe;-23.548;-46.636
instituto de botanica;instituto de botanica;ibt;-23.548;-46.636
instituto de educação tecnológica;instituto de educacao tecnologica;ietec;-19.817;-43.956
instituto de engenharia nuclear;instituto de engenharia nuclear;ien;-22.903;-43.208
instituto de ensino e pesquisa;instituto de ensino e pesquisa;insper;-23.548;-46.636
instituto de física teórica/unesp;instituto de fisica teorica/unesp;ift/unesp;-23.548;-46.636
instituto de medicina integral professor fernando figueira;instituto de medicina integral professor fernando figueira;imip;-8.054;-34.881
instituto de pesca - apta - sec. de agr. e abast. - sp;instituto de pesca - apta - sec. de agr. e abast. - sp;ip;-23.548;-46.636
instituto de pesq.tecnológicas do estado de são paulo;instituto de pesq.tecnologicas do estado de sao paulo;ipt;-23.548;-46.636
instituto de pesquisa econômica aplicada;instituto de pesquisa economica aplicada;ipea;-15.78;-47.93
instituto de pesquisa jardim botanico do rio de janeiro;instituto de pesquisa jardim botanico do rio de janeiro;jbrj;-22.903;-43.208
instituto de pesquisas ecológicas;instituto de pesquisas ecologicas;ipê;-23.181;-46.395
instituto de pesquisas energéticas e nucleares;instituto de pesquisas energeticas e nucleares;ipen;-23.548;-46.636
instituto de radioproteção e dosimetria;instituto de radioprotecao e dosimetria;ird;-22.903;-43.208
