"city";"count";"uf";"country";"latitude";"longitude"
"rondonópolis";34;"mato grosso";"brazil";-16.47083;-54.63556
"itabira";34;"minas gerais";"brazil";-19.61917;-43.22694
"joão monlevade";34;"minas gerais";"brazil";-19.81;-43.17361
"barra do piraí";34;"rio de janeiro";"brazil";-22.47;-43.82556
"campos";34;"rio de janeiro";"brazil";-21.75227;-41.33044
"três rios";34;"rio de janeiro";"brazil";-22.11667;-43.20917
"leme";34;"são paulo";"brazil";-22.18556;-47.39028
"ipameri";33;"goiás";"brazil";-17.72194;-48.15972
"leopoldina";33;"minas gerais";"brazil";-21.53194;-42.64306
"três corações";33;"minas gerais";"brazil";-21.69694;-45.25333
"pindamonhangaba";33;"são paulo";"brazil";-22.92389;-45.46167
"getúlio vargas";33;"";"brazil";-27.89;-52.228
"linhares";32;"espírito santo";"brazil";-19.39111;-40.07222
"carangola";32;"minas gerais";"brazil";-20.73306;-42.02944
"diamantina";32;"minas gerais";"brazil";-18.24142;-43.60568
"formiga";32;"minas gerais";"brazil";-20.46444;-45.42639
"bandeirantes";32;"paraná";"brazil";-23.11;-50.3675
"caicó";32;"rio grande do norte";"brazil";-6.45833;-37.09778
"cruzeiro";32;"são paulo";"brazil";-22.57316;-44.97108
"guaíra";32;"são paulo";"brazil";-20.31833;-48.31056
"itumbiara";31;"goiás";"brazil";-18.41917;-49.21528
"caçador";31;"santa catarina";"brazil";-26.77528;-51.015
"santa cruz do rio pardo";31;"são paulo";"brazil";-22.89889;-49.6325
"santa fé do sul";31;"são paulo";"brazil";-20.21111;-50.92583
"suzano";31;"são paulo";"brazil";-23.5425;-46.31083
"lucélia";31;"";"brazil";-21.72;-51.019
"visconde do rio branco";30;"minas gerais";"brazil";-21.01028;-42.84056
"jacarezinho";30;"paraná";"brazil";-23.16056;-49.96944
"brusque";30;"santa catarina";"brazil";-27.09806;-48.9175
"amparo";30;"são paulo";"brazil";-22.70111;-46.76444
"guararapes";30;"são paulo";"brazil";-21.26083;-50.64278
"indaiatuba";30;"são paulo";"brazil";-23.08842;-47.2119
"pereira barreto";30;"são paulo";"brazil";-20.63833;-51.10917
"rancharia";30;"são paulo";"brazil";-22.22917;-50.89306
"santa rita do passa quatro";30;"são paulo";"brazil";-21.71028;-47.47806
"juazeiro";30;"";"brazil";-9.414;-40.503
"contagem";29;"minas gerais";"brazil";-19.93167;-44.05361
"mandaguari";29;"paraná";"brazil";-23.5475;-51.67083
"rio pardo";29;"rio grande do sul";"brazil";-29.98972;-52.37806
"itatiba";29;"são paulo";"brazil";-23.00583;-46.83889
"monte alto";29;"são paulo";"brazil";-21.26111;-48.49639
"são joaquim da barra";29;"são paulo";"brazil";-20.58139;-47.85472
"são roque";29;"são paulo";"brazil";-23.52917;-47.13528
"bom jesus do itabapoana";28;"rio de janeiro";"brazil";-21.13389;-41.67972
"estrela";28;"rio grande do sul";"brazil";-28.06111;-50.93833
"frederico westphalen";28;"rio grande do sul";"brazil";-27.35917;-53.39444
"venâncio aires";28;"rio grande do sul";"brazil";-29.60639;-52.19194
"atibaia";28;"são paulo";"brazil";-23.11694;-46.55028
"itápolis";28;"são paulo";"brazil";-21.59556;-48.81278
"presidente venceslau";28;"são paulo";"brazil";-21.87611;-51.84389
"são vicente";28;"são paulo";"brazil";-23.96306;-46.39194
"bambuí";27;"minas gerais";"brazil";-20.00639;-45.97694
"cataguases";27;"minas gerais";"brazil";-21.38917;-42.69667
"guaxupé";27;"minas gerais";"brazil";-21.30528;-46.71278
"união da vitória";27;"paraná";"brazil";-26.23;-51.08639
"petrolina";27;"pernambuco";"brazil";-9.39861;-40.50083
"esteio";27;"rio grande do sul";"brazil";-29.86139;-51.17917
"jaguarão";27;"rio grande do sul";"brazil";-32.56611;-53.37583
"três passos";27;"rio grande do sul";"brazil";-27.45556;-53.93194
"boa vista";27;"roraima";"brazil";2.81972;-60.67333
"mirandopólis";27;"são paulo";"brazil";-21.13361;-51.10167
"valinhos";27;"são paulo";"brazil";-22.97056;-46.99583
"itapetinga";26;"estado de bahía";"brazil";-15.24889;-40.24778
"jataí";26;"goiás";"brazil";-17.87939;-51.72166
"bom despacho";26;"minas gerais";"brazil";-19.73639;-45.25222
"frutal";26;"minas gerais";"brazil";-20.02472;-48.94056
"patrocínio";26;"minas gerais";"brazil";-18.94389;-46.9925
"santos dumont";26;"minas gerais";"brazil";-21.45667;-43.5525
"santa fe";26;"new mexico";"united states";35.68698;-105.9378
"irati";26;"paraná";"brazil";-25.46722;-50.65111
"nilópolis";26;"rio de janeiro";"brazil";-22.8075;-43.41389
"teresópolis";26;"rio de janeiro";"brazil";-22.41222;-42.96556
"soledade";26;"rio grande do sul";"brazil";-28.81833;-52.51028
"descalvado";26;"são paulo";"brazil";-21.90389;-47.61944
"ibitinga";26;"são paulo";"brazil";-21.75778;-48.82889
"santo anastácio";26;"são paulo";"brazil";-21.83833;-51.61028
"cerro largo";26;"";"brazil";-28.149;-54.738
"nova esperança";26;"";"brazil";-23.184;-52.205
"sobradinho";25;"estado de bahía";"brazil";-12.83333;-39.1
"são sebastião do paraíso";25;"minas gerais";"brazil";-20.91694;-46.99139
"palmeira das missões";25;"rio grande do sul";"brazil";-27.89944;-53.31361
"taquara";25;"rio grande do sul";"brazil";-29.65056;-50.78056
"curitibanos";25;"santa catarina";"brazil";-27.28278;-50.58444
"jaraguá do sul";25;"santa catarina";"brazil";-26.48611;-49.06667
"videira";25;"santa catarina";"brazil";-27.00833;-51.15167
"caçapava";25;"são paulo";"brazil";-23.10083;-45.70694
"itapeva";25;"são paulo";"brazil";-23.98222;-48.87556
"matão";25;"são paulo";"brazil";-21.60333;-48.36583
"novo horizonte";25;"são paulo";"brazil";-21.46806;-49.22083
"itapiranga";25;"";"brazil";-2.749;-58.022
"ivaiporã";25;"";"brazil";-24.248;-51.685
"piumhi";25;"";"brazil";-20.465;-45.958
"ponta porã";24;"estado de mato grosso do sul";"brazil";-22.53611;-55.72556
"são lourenço";24;"minas gerais";"brazil";-22.11639;-45.05444
"abaetetuba";24;"pará";"brazil";-1.71806;-48.8825
"ibiporã";24;"paraná";"brazil";-23.26917;-51.04806
"marialva";24;"paraná";"brazil";-23.485;-51.79167
"quito";24;"pichincha";"ecuador";-0.22985;-78.52495
"currais novos";24;"rio grande do norte";"brazil";-6.26083;-36.51778
"canguçu";24;"rio grande do sul";"brazil";-31.395;-52.67556
"júlio de castilhos";24;"rio grande do sul";"brazil";-29.22694;-53.68167
"porto união";24;"santa catarina";"brazil";-26.23806;-51.07833
"mauá";24;"são paulo";"brazil";-23.66778;-46.46139
"palmeira dos índios";24;"";"brazil";-9.407;-36.628
"presidente bernardes";24;"";"brazil";-22.006;-51.553
"castelo";23;"espírito santo";"brazil";-20.60361;-41.18472
"curvelo";23;"minas gerais";"brazil";-18.75639;-44.43083
"manhuaçu";23;"minas gerais";"brazil";-20.25806;-42.03361
"tupaciguara";23;"minas gerais";"brazil";-18.59222;-48.705
"palotina";23;"paraná";"brazil";-24.28389;-53.84
"telêmaco borba";23;"paraná";"brazil";-24.32389;-50.61556
"rosário do sul";23;"rio grande do sul";"brazil";-30.25833;-54.91417
"tupanciretã";23;"rio grande do sul";"brazil";-29.08056;-53.83583
"veranópolis";23;"rio grande do sul";"brazil";-28.93611;-51.54944
"casa branca";23;"são paulo";"brazil";-21.77389;-47.08639
"são manuel";23;"são paulo";"brazil";-22.73111;-48.57056
"faxinal do soturno";23;"";"brazil";-29.575;-53.445
"rio pomba";23;"";"brazil";-21.275;-43.179
"alagoinhas";22;"estado de bahía";"brazil";-12.13556;-38.41917
"paulo afonso";22;"estado de bahía";"brazil";-9.40611;-38.21472
"aquidauana";22;"estado de mato grosso do sul";"brazil";-20.47111;-55.78722
"morrinhos";22;"goiás";"brazil";-17.73111;-49.09944
"caxias";22;"maranhão";"brazil";-4.85889;-43.35611
"paracatu";22;"minas gerais";"brazil";-17.22222;-46.87472
"francisco beltrão";22;"paraná";"brazil";-26.08111;-53.055
"jaboatão dos guararapes";22;"pernambuco";"brazil";-8.11278;-35.01472
"vitória de santo antão";22;"pernambuco";"brazil";-8.11806;-35.29139
"picos";22;"piauí";"brazil";-7.07694;-41.46694
"dom pedrito";22;"rio grande do sul";"brazil";-30.98278;-54.67306
"lagoa vermelha";22;"rio grande do sul";"brazil";-28.20861;-51.52583
"panambi";22;"rio grande do sul";"brazil";-28.2925;-53.50167
"capivari";22;"são paulo";"brazil";-22.995;-47.50778
"porto ferreira";22;"são paulo";"brazil";-21.85389;-47.47917
"nova palma";22;"";"brazil";-29.472;-53.469
"taguatinga";22;"";"brazil";-12.404;-46.436
"limoeiro do norte";21;"ceará";"brazil";-5.14556;-38.09806
"jacobina";21;"estado de bahía";"brazil";-11.18143;-40.51372
"iporá";21;"goiás";"brazil";-16.44194;-51.11778
"boa esperança";21;"minas gerais";"brazil";-21.09;-45.56583
"três pontas";21;"minas gerais";"brazil";-21.36667;-45.5125
"macaé";21;"rio de janeiro";"brazil";-22.37083;-41.78694
"vacaria";21;"rio grande do sul";"brazil";-28.51222;-50.93389
"canoinhas";21;"santa catarina";"brazil";-26.17722;-50.39
"igarapava";21;"são paulo";"brazil";-20.03833;-47.74694
"monte aprazível";21;"são paulo";"brazil";-20.7725;-49.71417
"pirajuí";21;"são paulo";"brazil";-21.99861;-49.45722
"pompéia";21;"são paulo";"brazil";-22.10861;-50.17167
"são miguel do oeste";21;"";"brazil";-26.725;-53.518
"penedo";20;"alagoas";"brazil";-10.29028;-36.58639
"luanda";20;"luanda";"angola";-8.83682;13.23432
"perdões";20;"minas gerais";"brazil";-21.09083;-45.09139
"medianeira";20;"paraná";"brazil";-25.29528;-54.09389
"arcoverde";20;"pernambuco";"brazil";-8.41889;-37.05389
"cabo frio";20;"rio de janeiro";"brazil";-22.88717;-42.02622
"farroupilha";20;"rio grande do sul";"brazil";-29.225;-51.34778
"nova prata";20;"rio grande do sul";"brazil";-28.78389;-51.61
"santa vitória do palmar";20;"rio grande do sul";"brazil";-33.51889;-53.36806
"são sepé";20;"rio grande do sul";"brazil";-30.16056;-53.56528
"barra bonita";20;"são paulo";"brazil";-22.49472;-48.55806
"piraju";20;"são paulo";"brazil";-23.19361;-49.38389
"assaí";20;"";"brazil";-23.373;-50.841
"cafelândia";20;"";"brazil";-21.803;-49.61
"cusco";19;"cusco";"peru";-13.52264;-71.96734
"pará de minas";19;"minas gerais";"brazil";-19.86028;-44.60833
"esperança";19;"paraíba";"brazil";-7.03306;-35.85722
"jandaia do sul";19;"paraná";"brazil";-23.60306;-51.64333
"floriano";19;"piauí";"brazil";-6.76694;-43.0225
"diadema";19;"são paulo";"brazil";-23.68611;-46.62278
"santa bárbara d'oeste";19;"são paulo";"brazil";-22.75361;-47.41361
"tietê";19;"são paulo";"brazil";-23.10194;-47.71472
"cali";19;"valle del cauca";"colombia";3.43722;-76.5225
"assis chateaubriand";19;"";"brazil";-24.42;-53.521
"espumoso";19;"";"brazil";-28.725;-52.85
"mogi guaçu";19;"";"brazil";-22.372;-46.942
"são pedro do sul";19;"";"brazil";-29.621;-54.179
"tenente portela";19;"";"brazil";-27.371;-53.758
"cairo";18;"al qāhirah";"egypt";30.06263;31.24967
"cáceres";18;"extremadura";"spain";39.47649;-6.37224
"muzambinho";18;"minas gerais";"brazil";-21.37583;-46.52556
"guaporé";18;"rio grande do sul";"brazil";-28.84556;-51.89028
"dois córregos";18;"são paulo";"brazil";-22.36611;-48.38028
"jardinópolis";18;"são paulo";"brazil";-21.01778;-47.76389
"ribeirão pires";18;"são paulo";"brazil";-23.71056;-46.41333
"goioerê";18;"";"brazil";-24.185;-53.028
"xaxim";18;"";"brazil";-26.962;-52.535
"cruzeiro do sul";17;"acre";"brazil";-7.62759;-72.67756
"braga";17;"braga";"portugal";41.55032;-8.42005
"serrinha";17;"estado de bahía";"brazil";-11.66417;-39.0075
"vera cruz";17;"estado de bahía";"brazil";-12.63333;-41.03333
"inhumas";17;"goiás";"brazil";-16.35778;-49.49611
"imperatriz";17;"maranhão";"brazil";-5.52639;-47.49167
"andradas";17;"minas gerais";"brazil";-22.06806;-46.56917
"bocaiúva";17;"minas gerais";"brazil";-17.10778;-43.815
"machado";17;"minas gerais";"brazil";-21.67472;-45.91972
"itaporanga";17;"paraíba";"brazil";-7.30444;-38.15028
"cambará";17;"paraná";"brazil";-23.04639;-50.07361
"campo maior";17;"piauí";"brazil";-4.82778;-42.16861
"caçapava do sul";17;"rio grande do sul";"brazil";-30.51436;-53.48496
"gravataí";17;"rio grande do sul";"brazil";-29.94218;-50.99278
"osório";17;"rio grande do sul";"brazil";-29.88667;-50.26972
"viamão";17;"rio grande do sul";"brazil";-30.08111;-51.02333
"tatuí";17;"são paulo";"brazil";-23.35556;-47.85694
"ibirubá";17;"";"brazil";-28.628;-53.09
"jaguari";17;"";"brazil";-29.497;-54.69
"quatá";17;"";"brazil";-22.248;-50.698
"crateús";16;"ceará";"brazil";-5.17833;-40.6775
"quixadá";16;"ceará";"brazil";-4.97139;-39.01528
"ipiaú";16;"estado de bahía";"brazil";-14.13341;-39.73708
"manhumirim";16;"minas gerais";"brazil";-20.35778;-41.95806
"monte alegre";16;"pará";"brazil";-2.00082;-54.08102
"paranaguá";16;"paraná";"brazil";-25.51944;-48.51992
