name;name_ascii;abbr;latitude;longitude
instituto alberto luiz coimbra de pós graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos graduacao e pesquisa de engenharia;;;;;;
universidade para o desenvolvimento do estado e da região do pantanal;universidade para o desenvolvimento do estado e da regiao do pantanal;;;;;;
embrapa recursos genéticos e biotecnologia;embrapa recursos geneticos e biotecnologia;;;;;;
faculdade de ciências da universidade de lisboa;faculdade de ciencias da universidade de lisboa;;;;;;
faculdade de filosofia nossa senhora medianeira;faculdade de filosofia nossa senhora medianeira;;;;;;
faculdades integradas de guarulhos;faculdades integradas de guarulhos;;;;;;
universidade são francisco - itatiba;universidade sao francisco - itatiba;;;;;;
faculdade porto alegrense de educação ciências e letras;faculdade porto alegrense de educacao ciencias e letras;;;;;;
instituto de geociências;instituto de geociencias;;;;;;
academia da força aérea;academia da forca aerea;;;;;;
faculdade salesiana de filosofia ciências e letras de lorena;faculdade salesiana de filosofia ciencias e letras de lorena;;;;;;
instituto superior politecnico jose antonio echeverria;instituto superior politecnico jose antonio echeverria;;;;;;
ministério da ciência e tecnologia;ministerio da ciencia e tecnologia;;;;;;
universidade ceuma;universidade ceuma;;;;;;
fundação faculdade de agronomia luiz meneghel;fundacao faculdade de agronomia luiz meneghel;;;;;;
hospital do servidor público estadual;hospital do servidor publico estadual;;;;;;
instituto chico mendes de conservação da biodiversidade;instituto chico mendes de conservacao da biodiversidade;;;;;;
instituto de astronomia, geofísica e ciências atmosféricas;instituto de astronomia, geofisica e ciencias atmosfericas;;;;;;
ministério da educação;ministerio da educacao;;;;;;
centro são camilo de desenvolvimento em administração da saúde;centro sao camilo de desenvolvimento em administracao da saude;;;;;;
faculdade de odontologia de pernambuco;faculdade de odontologia de pernambuco;;;;;;
faculdade de odontologia de lins;faculdade de odontologia de lins;;;;;;
instituto brasileiro de medicina de reabilitação;instituto brasileiro de medicina de reabilitacao;;;;;;
instituto de pesca;instituto de pesca;;;;;;
universidade estadual de ciências da saúde de alagoas;universidade estadual de ciencias da saude de alagoas;;;;;;
centro educacional objetivo;centro educacional objetivo;;;;;;
colégio sagrado coração de jesus;colegio sagrado coracao de jesus;;;;;;
faculdade de zootecnia e engenharia de alimentos;faculdade de zootecnia e engenharia de alimentos;;;;;;
fundação faculdade regional de medicina de são josé do rio preto;fundacao faculdade regional de medicina de sao jose do rio preto;;;;;;
conselho regional de odontologia de são paulo;conselho regional de odontologia de sao paulo;;;;;;
fundação hospitalar do distrito federal;fundacao hospitalar do distrito federal;;;;;;
instituto presbiteriano mackenzie;instituto presbiteriano mackenzie;;;;;;
centro de pesquisas de energia elétrica;centro de pesquisas de energia eletrica;;;;;;
instituto de biociências;instituto de biociencias;;;;;;
instituto superior politécnico josé antonio echeverría;instituto superior politecnico jose antonio echeverria;;;;;;
união pioneira de integração social;uniao pioneira de integracao social;;;;;;
universidade regional do nordeste;universidade regional do nordeste;;;;;;
escola superior de agricultura luiz de queiróz;escola superior de agricultura luiz de queiroz;;;;;;
federação brasileira das sociedades de ginecologia e obstetrícia - sp;federacao brasileira das sociedades;;;;;;
faculdade de letras da universidade do porto;faculdade de letras da universidade do porto;;;;;;
de ginecologia e obstetricia - sp;;;;;;
