name;name_ascii;abbr;city;state;country;latitude;longitude
centro nacional de pesquisa em energia e materiais;centro nacional de pesquisa em energia e materiais;cnpem;campinas;sao paulo;brasil;;
escola de aperfeiçoamento de oficiais;escola de aperfeicoamento de oficiais;esao;rio de janeiro;rio de janeiro;brasil;;
centro universitário claretiano de batatais;centro universitario claretiano de batatais;;batatais;sao paulo;brasil;;
faculdade de humanidades pedro ii;faculdade de humanidades pedro ii;fahupe/ufrj;rio de janeiro;rio de janeiro;brasil;;
instituto de física de são carlos;instituto de fisica de sao carlos;;sao carlos;sao paulo;brasil;;
museu paraense emílio goeldi;museu paraense emilio goeldi;;belem;para;brasil;;
sociedade brasileira de pediatria;sociedade brasileira de pediatria;sbp;rio de janeiro;rio de janeiro;brasil;;
faculdade de ciências médicas de santos;faculdade de ciencias medicas de santos;;santos;sao paulo;brasil;;
empresa de pesquisa agropecuária e extensão rural de santa catarina;empresa de pesquisa agropecuaria e extensao rural de santa catarina;epagri;florianopolis;santa catarina;brasil;;
universidade vale do rio verde de três corações;universidade vale do rio verde de tres coracoes;;tres coracoes;minas gerais;brasil;;
sociedade brasileira de cardiologia;sociedade brasileira de cardiologia;sbc;rio de janeiro;rio de janeiro;brasil;;
instituto materno infantil de pernambuco;instituto materno infantil de pernambuco;imip;recife;pernambuco;brasil;;
instituto metodista bennett;instituto metodista bennett;;rio de janeiro;rio de janeiro;brasil;;



