"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"USA","Christina McHale",NA,23,"WTA",1,46,"2014-08-23 14:48:09",1992-05-11,67,137,"R",22.2833675564682,22,"USA"
"USA","Alison Riske",NA,16,"WTA",1,31,"2014-08-23 14:48:09",1990-07-03,69,145,"R",24.1396303901437,24,"USA"
"USA","Shelby Rogers",NA,10,"WTA",1,19,"2014-08-23 14:48:09",1992-10-13,69,155,"R",21.8590006844627,21,"USA"
"USA","Vania King",NA,2,"WTA",1,4,"2014-08-23 14:48:09",1989-02-03,65,130,"R",25.5496235455168,25,"USA"
"USA","Nicole Gibbs",NA,11,"WTA",1,21,"2014-08-23 14:48:09",1992-03-03,66,141,"R",22.4722792607803,22,"USA"
"USA","Sloane Stephens",21,37,"WTA",1,73,"2014-08-23 14:48:09",1993-03-20,67,135,"R",21.4264202600958,21,"USA"
"USA","Venus Williams",19,60,"WTA",1,120,"2014-08-23 14:48:09",1980-06-17,73,160,"R",34.1820670773443,34,"USA"
"USA","Serena Williams",1,1,"WTA",1,1,"2014-08-23 14:48:09",1981-09-26,69,155,"R",32.9062286105407,32,"USA"
"USA","Danielle Rose Collins",NA,64,"WTA",1,127,"2014-08-23 14:48:09",1993-12-13,NA,NA,NA,20.6926762491444,20,"USA"
"USA","Grace Min",NA,28,"WTA",1,55,"2014-08-23 14:48:09",1994-05-06,66,140,"R",20.2984257357974,20,"USA"
"USA","Coco Vandeweghe",NA,7,"WTA",1,13,"2014-08-23 14:48:09",1991-12-06,73,155,"R",22.7132101300479,22,"USA"
"USA","Catherine Bellis",NA,25,"WTA",1,50,"2014-08-23 14:48:09",1999-04-08,NA,NA,"R",15.3757700205339,15,"USA"
"USA","Madison Keys",27,20,"WTA",1,40,"2014-08-23 14:48:09",1995-02-17,61,145,"R",19.5126625598905,19,"USA"
"USA","Lauren Davis",NA,5,"WTA",1,10,"2014-08-23 14:48:09",1993-10-09,62,121,"R",20.870636550308,20,"USA"
"USA","Taylor Townsend",NA,1,"WTA",1,2,"2014-08-23 14:48:09",1996-04-06,67,170,"L",18.3791923340178,18,"USA"
"USA","Varvara Lepchenko",NA,3,"WTA",1,5,"2014-08-23 14:48:09",1986-05-21,61,159,"L",28.2573579739904,28,"USA"
"USA","Madison Brengle",NA,51,"WTA",1,102,"2014-08-23 14:48:09",1990-04-03,64,130,"R",24.3887748117728,24,"USA"
