;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;the university of melbourne;instituition;parkville;maryland;united states;1;0;1;1;1;0;;;;
;national institute of health;instituition;bethesda;maryland;united states;1;0;1;1;1;0;;;;
;faculdades integradas de varzea grande;instituition;varzea grande;mato grosso;brazil;1;0;1;1;1;0;;;;
;faculdade anhanguera de joinville;instituition;joinville;santa catarina;brazil;1;0;1;1;1;0;;;;
;faculdades integradas einstein de limeira;instituition;limeira;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade avantis;instituition;balneario camboriu;santa catarina;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias da administracao de garanhuns;instituition;garanhuns;pernambuco;brazil;1;0;1;1;1;0;;;;
;instituto superior de educacao programus;instituition;agua branca;piaui;brazil;1;0;1;1;1;0;;;;
;faculdades integradas ipitanga;instituition;lauro de freitas;bahia;brazil;1;0;1;1;1;0;;;;
;faculdade de filosofia ciencias e letras nossa senhora de sion;instituition;campanha;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade montes belos;instituition;sao luis de montes belos;goias;brazil;1;0;1;1;1;0;;;;
;centro tecnico educacional superior do oeste paranaense;instituition;assis chateaubriand;parana;brazil;1;0;1;1;1;0;;;;
;uniao das escolas do grupo faimi de educacao;instituition;mirassol;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario de mineiros;instituition;mineiros;goias;brazil;1;0;1;1;1;0;;;;
;universidad de oviedo;instituition;oviedo;asturias;spain;1;0;1;1;1;0;;;;
;hospital israelita albert einstein;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade de pernambuco;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;faculdade metodo de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de direito professor damasio de jesus;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;agencia paulista de tecnologia dos agronegocios;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade sao marcos;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;technische universitat berlin;instituition;berlin;berlin;germany;1;0;1;1;1;0;;;;
;faculdade senai cetiqt;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade albert einstein;instituition;brasilia;federal district;brazil;1;0;1;1;1;0;;;;
;escola de engenharia de agrimensura;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;universidade tuiuti do parana;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;universidade de cuiaba;instituition;cuiaba;mato grosso;brazil;1;0;1;1;1;0;;;;
;faculdade brasileira de educacao e cultura;instituition;goiania;goias;brazil;1;0;1;1;1;0;;;;
;universidade de santa cruz do sul;instituition;santa cruz do sul;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;instituto nacional de cancer;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade de saude publica;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario herminio ometto de araras;instituition;araras;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto do coracao;instituition;cachoeiro de itapemirim;espirito santo;brazil;1;0;1;1;1;0;;;;
;universidade cidade de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade de guarulhos;instituition;guarulhos;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade bandeirante de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;escola superior de propaganda e marketing;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade catolica de petropolis;instituition;petropolis;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;centro universitario fieo;instituition;osasco;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade do estado do rio grande do norte;instituition;mossoro;rio grande do norte;brazil;1;0;1;1;1;0;;;;
;centro universitario assuncao;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade estadual de roraima;instituition;boa vista;roraima;brazil;1;0;1;1;1;0;;;;
;universidade estadual do centro oeste;instituition;guarapuava;parana;brazil;1;0;1;1;1;0;;;;
;centro universitario sao camilo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade jose do rosario vellano;instituition;alfenas;minas gerais;brazil;1;0;1;1;1;0;;;;
;universidade federal dos vales do jequitinhonha e mucuri campus jk;instituition;diamantina;minas gerais;brazil;1;0;1;1;1;0;;;;
;universidade camilo castelo branco;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro de tecnologia da informacao renato archer;instituition;campinas;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario salesiano sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade federal de rondonia;instituition;porto velho;rondonia;brazil;1;0;1;1;1;0;;;;
;faculdade campo limpo paulista;instituition;campo limpo paulista;sao paulo;brazil;1;0;1;1;1;0;;;;
;insper instituto de ensino e pesquisa;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade estadual do rio grande do sul;instituition;cachoeira do sul;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;universidade federal de roraima;instituition;boa vista;roraima;brazil;1;0;1;1;1;0;;;;
;universidade catolica de santos;instituition;santos;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdades integradas de bauru;instituition;bauru;sao paulo;brazil;1;0;1;1;1;0;;;;
;fundacao escola de sociologia e politica de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;hospital israelita albert einstein;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade federal da grande dourados;instituition;dourados;mato grosso do sul;brazil;1;0;1;1;1;0;;;;
;universidade estadual de feira de santana;instituition;feira de santana;bahia;brazil;1;0;1;1;1;0;;;;
;universidade de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de medicina de ribeirao preto da universidade de sao paulo;instituition;ribeirao preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto nacional de metrologia qualidade e tecnologia;instituition;duque de caxias;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;university of california;instituition;riverside;california;united states;1;0;1;1;1;0;;;;
;universidade salvador;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;universidade do estado da bahia;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;universidade federal do amapa;instituition;macapa;amapa;brazil;1;0;1;1;1;0;;;;
;hospital das clinicas da fmusp;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade paulus de tecnologia e comunicacao;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade catolica de pernambuco;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;centro universitario de brasilia;instituition;brasilia;federal district;brazil;1;0;1;1;1;0;;;;
;instituto de fisica da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;uniao das faculdades dos grandes lagos;instituition;sao jose do rio preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdades integradas torricelli;instituition;guarulhos;sao paulo;brazil;1;0;1;1;1;0;;;;
;hospital das clinicas de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade da regiao de joinville;instituition;joinville;santa catarina;brazil;1;0;1;1;1;0;;;;
;sociedade educacional de santa catarina;instituition;joinville;santa catarina;brazil;1;0;1;1;1;0;;;;
;universidade norte do parana;instituition;londrina;parana;brazil;1;0;1;1;1;0;;;;
;universidade catolica dom bosco;instituition;campo grande;mato grosso do sul;brazil;1;0;1;1;1;0;;;;
;instituto federal de educacao ciencia e tecnologia baiano;instituition;guanambi;bahia;brazil;1;0;1;1;1;0;;;;
;universidade positivo;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;universidade estadual de montes claros;instituition;montes claros;minas gerais;brazil;1;0;1;1;1;0;;;;
;exercito brasileiro;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade de marilia;instituition;marilia;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro de tecnologia mineral;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;the university of queensland;instituition;brisbane;queensland;australia;1;0;1;1;1;0;;;;
;universidade estadual de goias;instituition;anapolis;goias;brazil;1;0;1;1;1;0;;;;
;faculdade sao lucas;instituition;porto velho;rondonia;brazil;1;0;1;1;1;0;;;;
;centro universitario central paulista;instituition;sao carlos;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade para o desenvolvimento do estado e da regiao do pantanal;instituition;campo grande;mato grosso do sul;brazil;1;0;1;1;1;0;;;;
;universidade federal da fronteira sul;instituition;chapeco;santa catarina;brazil;1;0;1;1;1;0;;;;
;instituto federal de educacao ciencia e tecnologia de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;observatorio nacional;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;hospital heliopolis unidade de gestao assistencial 1;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto de ciencias biomedicas da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de saude publica da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;conselho nacional de desenvolvimento cientifico e tecnologico;instituition;breves;para;brazil;1;0;1;1;1;0;;;;
;universidade comunitaria da regiao de chapeco;instituition;chapeco;santa catarina;brazil;1;0;1;1;1;0;;;;
;university of california san diego;instituition;la jolla;california;united states;1;0;1;1;1;0;;;;
;universidade vila velha;instituition;vila velha;espirito santo;brazil;1;0;1;1;1;0;;;;
;universidade catolica de pelotas;instituition;pelotas;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;faculdade de medicina de marilia;instituition;marilia;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto federal de mato grosso;instituition;cuiaba;mato grosso;brazil;1;0;1;1;1;0;;;;
;companhia de pesquisa de recursos minerais;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;universidade catolica do salvador;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;instituto nacional da propriedade industrial;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;universidade salgado de oliveira;instituition;sao goncalo;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;stanford university;instituition;palo alto;california;united states;1;0;1;1;1;0;;;;
;fundacao estadual de pesquisa agropecuaria;instituition;eldorado do sul;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;universidade regional do cariri;instituition;crato;ceara;brazil;1;0;1;1;1;0;;;;
;instituto federal de pernambuco;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;faculdade fia de administracao e negocios;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;petroleo brasileiro rio de janeiro matriz;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;universidad complutense de madrid;instituition;madrid;madrid;spain;1;0;1;1;1;0;;;;
;centro universitario unifafibe;instituition;bebedouro;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade federal rural da amazonia;instituition;belem;para;brazil;1;0;1;1;1;0;;;;
;fundacao universidade regional de blumenau;instituition;blumenau;santa catarina;brazil;1;0;1;1;1;0;;;;
;faculdade teologica batista de sao paulo;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;universidade regional integrada do alto uruguai e das missoes;instituition;erechim;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;university of wisconsin madison;instituition;madison;wisconsin;united states;1;0;1;1;1;0;;;;
;universidade de sao paulo ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdades integradas do brasil;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;universitat stuttgart;instituition;stuttgart;baden-wí_rttemberg region;germany;1;0;1;1;1;0;;;;
;universidade regional do noroeste do estado do rio grande do sul;instituition;ijui;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;universidad de santiago de chile;instituition;santiago;santiago;chile;1;0;1;1;1;0;;;;
;university of florida;instituition;gainesville;florida;united states;1;0;1;1;1;0;;;;
;universidad de concepcion;instituition;concepcion;biobí_o;chile;1;0;1;1;1;0;;;;
;faculdade sao bento da bahia;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;university of pittsburgh;instituition;pittsburgh;pennsylvania;united states;1;0;1;1;1;0;;;;
;university of birmingham;instituition;birmingham;england;united kingdom;1;0;1;1;1;0;;;;
;centro universitario facvest;instituition;lages;santa catarina;brazil;1;0;1;1;1;0;;;;
;instituto federal de educacao ciencia e tecnologia de roraima;instituition;boa vista;roraima;brazil;1;0;1;1;1;0;;;;
;universidade lusofona de humanidades e tecnologias;instituition;lisbon;lisbon;portugal;1;0;1;1;1;0;;;;
;faculdade frassinetti do recife;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;instituto federal de educacao ciencia e tecnologia do para;instituition;belem;para;brazil;1;0;1;1;1;0;;;;
;university of iowa;instituition;iowa city;iowa;united states;1;0;1;1;1;0;;;;
;university of manchester;instituition;manchester;england;united kingdom;1;0;1;1;1;0;;;;
;university of pennsylvania;instituition;philadelphia;pennsylvania;united states;1;0;1;1;1;0;;;;
;universita degli studi di roma la sapienza;instituition;rome;latium;italy;1;0;1;1;1;0;;;;
;centro universitario do leste de minas gerais;instituition;coronel fabriciano;minas gerais;brazil;1;0;1;1;1;0;;;;
;abeu centro universitario;instituition;belford roxo;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdades integradas da vitoria de santo antao;instituition;vitoria de santo antao;pernambuco;brazil;1;0;1;1;1;0;;;;
;universidade anhanguera uniderp;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;centro universitario claretiano de batatais;instituition;batatais;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario de franca;instituition;franca;sao paulo;brazil;1;0;1;1;1;0;;;;
;universita di pisa;instituition;pisa;tuscany;italy;1;0;1;1;1;0;;;;
;museu de astronomia e ciencias afins;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade estacio de natal;instituition;natal;rio grande do norte;brazil;1;0;1;1;1;0;;;;
;instituto de ciencias juridicas e sociais professor camillo filho;instituition;teresina;piaui;brazil;1;0;1;1;1;0;;;;
;faculdade da amazonia ocidental;instituition;rio branco;acre;brazil;1;0;1;1;1;0;;;;
;faculdade anchieta;instituition;sao bernardo do campo;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto superior de educacao professor aldo muylaert;instituition;campos dos goytacazes;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade sao francisco de barreiras;instituition;barreiras;bahia;brazil;1;0;1;1;1;0;;;;
;instituto federal de educacao ciencia e tecnologia goiano;instituition;rio verde;goias;brazil;1;0;1;1;1;0;;;;
;faculdades integradas de cacoal;instituition;cacoal;rondonia;brazil;1;0;1;1;1;0;;;;
;faculdade do vale do jaguaribe;instituition;aracati;ceara;brazil;1;0;1;1;1;0;;;;
;faculdade nossa cidade;instituition;carapicuiba;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto superior do litoral do parana;instituition;paranagua;parana;brazil;1;0;1;1;1;0;;;;
;faculdade senac minas;instituition;contagem;minas gerais;brazil;1;0;1;1;1;0;;;;
;escola de educacao fisica de assis;instituition;assis;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade camaquense de ciencias contabeis e administrativas;instituition;camaqua;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;faculdade de filosofia ciencias e letras de congonhas;instituition;congonhas;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade inedi;instituition;cachoeirinha;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias sociais de florianopolis;instituition;florianopolis;santa catarina;brazil;1;0;1;1;1;0;;;;
;faculdades integradas rio branco;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade sumare;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario metodista ipa;instituition;porto alegre;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;universidad de la republica uruguay;instituition;montevideo;montevideo;uruguay;1;0;1;1;1;0;;;;
;university of essex;instituition;colchester;england;united kingdom;1;0;1;1;1;0;;;;
;centro universitario moacyr sreder bastos;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;centro universitario curitiba;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;universidad de sevilla;instituition;sevilla;andalusia;spain;1;0;1;1;1;0;;;;
;universidad del valle;instituition;cali;valle del cauca;colombia;1;0;1;1;1;0;;;;
;faculdade fidelis;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;universidad nacional de colombia bogota;instituition;bogota;bogota d,c,;colombia;1;0;1;1;1;0;;;;
;universidad central de venezuela;instituition;caracas;distrito federal;venezuela;1;0;1;1;1;0;;;;
;universidade de havana;instituition;centro habana;ciudad de la habana;cuba;1;0;1;1;1;0;;;;
;universidad de la habana;instituition;centro habana;ciudad de la habana;cuba;1;0;1;1;1;0;;;;
;university of cambridge;instituition;cambridge;england;united kingdom;1;0;1;1;1;0;;;;
;faculdade de tecnologia de taquaritinga;instituition;taquaritinga;sao paulo;brazil;1;0;1;1;1;0;;;;
;universite lumiere lyon 2;instituition;lyon;rhíÇne-alpes;france;1;0;1;1;1;0;;;;
;faculdade de ampere;instituition;ampere;parana;brazil;1;0;1;1;1;0;;;;
;fundacao dom cabral;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;universidad del oriente cuba;instituition;santiago de cuba;santiago de cuba;cuba;1;0;1;1;1;0;;;;
;centro universitario franciscano do parana;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;university of miami;instituition;coral gables;florida;united states;1;0;1;1;1;0;;;;
;universidad nacional de la plata;instituition;la plata;buenos aires;argentina;1;0;1;1;1;0;;;;
;universite paris 1 pantheon sorbonne;instituition;paris;í¬le-de-france;france;1;0;1;1;1;0;;;;
;universite libre de bruxelles;instituition;brussels;brussels capital region;belgium;1;0;1;1;1;0;;;;
;universite paris diderot;instituition;paris;í¬le-de-france;france;1;0;1;1;1;0;;;;
;universite de paris xi paris sud;instituition;sceaux;í¬le-de-france;france;1;0;1;1;1;0;;;;
;universite paris 8 vincennes saint denis;instituition;saint denis;í¬le-de-france;france;1;0;1;1;1;0;;;;
;fundacao joao pinheiro;instituition;belo horizonte;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade de tecnologia de capao bonito;instituition;capao bonito;sao paulo;brazil;1;0;1;1;1;0;;;;
;cornell university;instituition;ithaca;new york;united states;1;0;1;1;1;0;;;;
;faculdade de tecnologia de piracicaba;instituition;piracicaba;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de castelo;instituition;castelo;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias biologicas e da saude;instituition;vicosa;minas gerais;brazil;1;0;1;1;1;0;;;;
;princeton university;instituition;princeton;florida;united states;1;0;1;1;1;0;;;;
;faculdade santa emilia de rodat;instituition;joao pessoa;paraiba;brazil;1;0;1;1;1;0;;;;
;faculdade luterana de teologia;instituition;sao bento do sul;santa catarina;brazil;1;0;1;1;1;0;;;;
;universidade vale do rio verde;instituition;tres coracoes;minas gerais;brazil;1;0;1;1;1;0;;;;
;escola de aperfeicoamento de oficiais;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade salesiana dom bosco;instituition;manaus;amazonas;brazil;1;0;1;1;1;0;;;;
;faculdade teologica batista equatorial;instituition;belem;para;brazil;1;0;1;1;1;0;;;;
;faculdade de itapiranga;instituition;itapiranga;santa catarina;brazil;1;0;1;1;1;0;;;;
;universite toulouse iii paul sabatier;instituition;toulouse;midi-pyrí©ní©es;france;1;0;1;1;1;0;;;;
;fundacao visconde de cairu;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;faculdade educacional de medianeira;instituition;medianeira;parana;brazil;1;0;1;1;1;0;;;;
;university of kansas;instituition;lawrence;kansas;united states;1;0;1;1;1;0;;;;
;university of leeds;instituition;leeds;england;united kingdom;1;0;1;1;1;0;;;;
;instituto de ciencias juridicas e sociais professor camillo filho;instituition;teresina;piaui;brazil;1;0;1;1;1;0;;;;
;faculdade venda nova do imigrante;instituition;venda nova do imigrante;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade estacio de sa de vitoria;instituition;vitoria;espirito santo;brazil;1;0;1;1;1;0;;;;
;hospital dos servidores do estado do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;centro educacional objetivo;instituition;campinas;sao paulo;brazil;1;0;1;1;1;0;;;;
;university of arizona;instituition;tucson;arizona;united states;1;0;1;1;1;0;;;;
;karlsruher institut fur technologie;instituition;karlsruhe;baden-wí_rttemberg region;germany;1;0;1;1;1;0;;;;
;centro universitario geraldo di biase;instituition;volta redonda;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;universita degli studi di padova;instituition;padova;veneto;italy;1;0;1;1;1;0;;;;
;universidad de murcia;instituition;murcia;murcia;spain;1;0;1;1;1;0;;;;
;faculdade de filosofia ciencias e letras nossa senhora aparecida;instituition;sertaozinho;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario metodista izabela hendrix;instituition;belo horizonte;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade santa maria;instituition;cajazeiras;paraiba;brazil;1;0;1;1;1;0;;;;
;faculdade escritor osman da costa lins;instituition;vitoria de santo antao;pernambuco;brazil;1;0;1;1;1;0;;;;
;the university of texas at austin;instituition;austin;texas;united states;1;0;1;1;1;0;;;;
;universidade de barcelona;instituition;barcelona;catalonia;spain;1;0;1;1;1;0;;;;
;institut national polytechnique de grenoble;instituition;grenoble;rhíÇne-alpes;france;1;0;1;1;1;0;;;;
;faculdade vicentina;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;faculdade de maua;instituition;maua;sao paulo;brazil;1;0;1;1;1;0;;;;
;imperial college of science technology and medicine;instituition;london;england;united kingdom;1;0;1;1;1;0;;;;
;faculdade de tecnologia senac rio;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade cbes;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;banco central do brasil;instituition;brasilia;federal district;brazil;1;0;1;1;1;0;;;;
;faculdade fleming;instituition;campinas;sao paulo;brazil;1;0;1;1;1;0;;;;
;escola superior de marketing;instituition;recife;pernambuco;brazil;1;0;1;1;1;0;;;;
;escola de estudos superiores de vicosa;instituition;vicosa;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias sociais aplicadas de cascavel;instituition;cascavel;parana;brazil;1;0;1;1;1;0;;;;
;faculdade maringa;instituition;maringa;parana;brazil;1;0;1;1;1;0;;;;
;faculdade de rondonia;instituition;porto velho;rondonia;brazil;1;0;1;1;1;0;;;;
;faculdade eduvale de avare;instituition;avare;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade cenecista de joinville;instituition;joinville;santa catarina;brazil;1;0;1;1;1;0;;;;
;escola de ensino superior alternativo;instituition;serra;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade de filosofia e ciencias humanas de goiatuba;instituition;goiatuba;goias;brazil;1;0;1;1;1;0;;;;
;faculdades da fundacao de ensino de mococa;instituition;mococa;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de maua;instituition;maua;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro universitario unirg;instituition;gurupi;tocantins;brazil;1;0;1;1;1;0;;;;
;faculdade de sao bento;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;escola superior de artes celia helena;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade das americas;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;instituto nacional de educacao de surdos;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;centro universitario herminio da silveira;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdade fidelis;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;faculdade anhanguera de brasilia;instituition;brasilia;federal district;brazil;1;0;1;1;1;0;;;;
;faculdade helio rocha;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;escola superior de teologia e espiritualidade franciscana;instituition;porto alegre;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;faculdade sete de setembro;instituition;fortaleza;ceara;brazil;1;0;1;1;1;0;;;;
;faculdade de saude ciencias humanas e tecnologicas do piaui;instituition;teresina;piaui;brazil;1;0;1;1;1;0;;;;
;faculdades integradas dom pedro ii;instituition;sao jose do rio preto;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade de vila velha;instituition;vila velha;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade de direito de cachoeiro do itapemirim;instituition;cachoeiro de itapemirim;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade catolica de pouso alegre;instituition;pouso alegre;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias medicas e paramedicas fluminense;instituition;nilopolis;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdades integradas de taquara;instituition;taquara;rio grande do sul;brazil;1;0;1;1;1;0;;;;
;faculdade de ciencias humanas e sociais;instituition;paripiranga;bahia;brazil;1;0;1;1;1;0;;;;
;faculdade da aldeia de carapicuiba;instituition;carapicuiba;sao paulo;brazil;1;0;1;1;1;0;;;;
;faculdade educacional da lapa;instituition;lapa;parana;brazil;1;0;1;1;1;0;;;;
;faculdade montenegro;instituition;ibicarai;bahia;brazil;1;0;1;1;1;0;;;;
;faculdade de pimenta bueno;instituition;pimenta bueno;rondonia;brazil;1;0;1;1;1;0;;;;
;faculdade ubaense ozanam coelho;instituition;uba;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade sao tomas de aquino;instituition;palmeira dos indios;alagoas;brazil;1;0;1;1;1;0;;;;
;faculdade messianica;instituition;sao paulo;sao paulo;brazil;1;0;1;1;1;0;;;;
;centro de pesquisa e desenvolvimento leopoldo americo miguez de mello;instituition;rio de janeiro;rio de janeiro;brazil;1;0;1;1;1;0;;;;
;faculdades integradas camoes;instituition;curitiba;parana;brazil;1;0;1;1;1;0;;;;
;faculdade brasileira;instituition;vitoria;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade catolica salesiana do espirito santo;instituition;vitoria;espirito santo;brazil;1;0;1;1;1;0;;;;
;faculdade mauricio de nassau de salvador;instituition;salvador;bahia;brazil;1;0;1;1;1;0;;;;
;faculdade estacio de sa de juiz de fora;instituition;juiz de fora;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade de informatica de cuiaba;instituition;cuiaba;mato grosso;brazil;1;0;1;1;1;0;;;;
;instituto de ensino superior de alagoas;instituition;maceio;alagoas;brazil;1;0;1;1;1;0;;;;
;instituto de ensino superior presidente tancredo de almeida neves;instituition;sao joao del rei;minas gerais;brazil;1;0;1;1;1;0;;;;
;faculdade de apucarana;instituition;apucarana;parana;brazil;1;0;1;1;1;0;;;;
;faculdade de administracao de governador valadares;instituition;governador valadares;minas gerais;brazil;1;0;1;1;1;0;;;;
