"city";"uf";"country";"latitude";"longitude";"count"
"Elesbão Veloso";"piaui";"brasil";-6.202;-42.14;8
"Brasópolis";"minas gerais";"brasil";-22.474;-45.608;8
"Dijon";"Bourgogne";"France";47.31667;5.01667;8
"Fagundes";"paraiba";"brasil";-7.355;-35.775;8
"Estrela do Sul";"minas gerais";"brasil";-18.746;-47.693;8
"Houston";"Texas";"United States";29.76328;-95.36327;8
"Pedra Lavrada";"paraiba";"brasil";-6.757;-36.48;8
"Porciúncula";"rio de janeiro";"brasil";-20.963;-42.041;8
"Escada";"pernambuco";"brasil";-8.359;-35.224;8
"San Francisco";"California";"United States";37.77493;-122.41942;8
"Carnaúba dos Dantas";"rio grande do norte";"brasil";-6.556;-36.595;8
"Salesópolis";"sao paulo";"brasil";-23.532;-45.846;8
"Missal";"parana";"brasil";-25.092;-54.248;8
"Ilicínea";"minas gerais";"brasil";-20.936;-45.833;8
"Minas Novas";"minas gerais";"brasil";-17.219;-42.59;8
"Araújos";"minas gerais";"brasil";-19.948;-45.166;8
"Monte Azul";"minas gerais";"brasil";-15.155;-42.875;8
"Covilhã";"Castelo Branco";"Portugal";40.28601;-7.50396;8
"Angicos";"rio grande do norte";"brasil";-5.666;-36.601;8
"Belo Vale";"minas gerais";"brasil";-20.408;-44.024;8
"Ocauçu";"sao paulo";"brasil";-22.439;-49.923;8
"Candiba";"bahia";"brasil";-14.411;-42.867;8
"Itamarandiba";"minas gerais";"brasil";-17.857;-42.859;8
"São Domingos do Sul";"rio grande do sul";"brasil";-28.531;-51.888;8
"Piraúba";"minas gerais";"brasil";-21.276;-43.026;8
"Macarani";"bahia";"brasil";-15.568;-40.423;8
"Chillán";"Biobío";"Chile";-36.60664;-72.10344;8
"Douradoquara";"minas gerais";"brasil";-18.431;-47.609;8
"Modena";"Emilia-Romagna";"Italy";44.64783;10.92539;8
"Água Doce";"santa catarina";"brasil";-26.998;-51.556;8
"Paraíso do Tocantins";"tocantins";"brasil";-10.176;-48.867;8
