"id";"name";"name_ascii";"abbr";"city";"state";"country";"latitude";"longitude"
64;"faculdade doutor leocádio josé correia";"faculdade doutor leocadio jose correia";"";"curitiba";"parana";"brasil";-25.428;"-49.273"
66;"faculdade maurício de nassau de caruaru";"faculdade mauricio de nassau de caruaru";"";"caruaru";"pernambuco";"brasil";-8.283;"-35.976"
67;"faculdade padre anchieta de várzea paulista";"faculdade padre anchieta de varzea paulista";"";"varzea paulista";"sao paulo";"brasil";-23.211;"-46.828"
68;"faculdade de tecnologia senac blumenau";"faculdade de tecnologia senac blumenau";"";"blumenau";"santa catarina";"brasil";-26.919;"-49.066"
69;"faculdade anchieta";"faculdade anchieta";"";"sao bernardo do campo";"sao paulo";"brasil";-23.694;"-46.565"
116;"fundação universidade federal do tocantins";"fundacao universidade federal do tocantins";"uft";"palmas";"tocantins";"brasil";-10.167;"-48.333"
111;"insper instituto de ensino e pesquisa";"insper instituto de ensino e pesquisa";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
70;"pontifícia universidade católica de goiás";"pontificia universidade catolica de goias";"puc-goiás";"goiania";"goias";"brasil";-16.679;"-49.254"
65;"faculdade integrada de araguatins";"faculdade integrada de araguatins";"";"araguatins";"tocantins";"brasil";-5.651;"-48.124"
72;"universidade de mogi das cruzes";"universidade de mogi das cruzes";"umc";"mogi das cruzes";"sao paulo";"brasil";-23.523;"-46.188"
73;"universidade guarulhos";"universidade guarulhos";"ung";"guarulhos";"sao paulo";"brasil";-23.463;"-46.533"
77;"faculdade estácio de sá de santa catarina";"faculdade estacio de sa de santa catarina";"";"sao jose";"santa catarina";"brasil";-27.615;"-48.628"
78;"faculdade einstein";"faculdade einstein";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
79;"faculdade estação";"faculdade estacao";"";"curitiba";"parana";"brasil";-25.428;"-49.273"
96;"universidade presbiteriana mackenzie";"universidade presbiteriana mackenzie";"upm";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
80;"faculdade paraíso";"faculdade paraiso";"";"sao goncalo";"rio de janeiro";"brasil";-22.827;"-43.054"
74;"centro universitário de maringá - ceumar";"centro universitario de maringa";"ceumar";"maringa";"parana";"brasil";-23.425;"-51.939"
75;"universidade federal de alagoas";"universidade federal de alagoas";"ufal";"maceio";"alagoas";"brasil";-9.666;"-35.735"
76;"faculdade praia grande";"faculdade praia grande";"";"praia grande";"sao paulo";"brasil";-24.006;"-46.403"
82;"faculdade paranapanema";"faculdade paranapanema";"";"porecatu";"parana";"brasil";-22.756;"-51.379"
83;"faculdade paulista de educação e comunicação";"faculdade paulista de educacao e comunicacao";"";"ibiuna";"sao paulo";"brasil";-23.656;"-47.223"
90;"faculdade santa rita";"faculdade santa rita";"";"conselheiro lafaiete";"minas gerais";"brasil";-20.66;"-43.786"
99;"faculdade união de goyazes";"faculdade uniao de goyazes";"";"trindade";"goias";"brasil";-16.649;"-49.489"
85;"faculdade paulista de serviço social";"faculdade paulista de servico social";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
86;"faculdade de educação de jaru";"faculdade de educacao de jaru";"";"jaru";"rondonia";"brasil";-10.439;"-62.466"
87;"faculdade de presidente prudente";"faculdade de presidente prudente";"";"presidente prudente";"sao paulo";"brasil";-22.126;"-51.389"
89;"instituto salvador de ensino e cultura";"instituto salvador de ensino e cultura";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
91;"faculdade santo agostinho";"faculdade santo agostinho";"";"teresina";"piaui";"brasil";-5.089;"-42.802"
93;"faculdades integradas rio branco";"faculdades integradas rio branco";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
94;"faculdade de ciências humanas de cruzeiro";"faculdade de ciencias humanas de cruzeiro";"";"cruzeiro";"sao paulo";"brasil";-22.576;"-44.963"
95;"faculdade faccentro";"faculdade faccentro";"";"porto alegre";"rio grande do sul";"brasil";-30.033;"-51.23"
117;"universidade estadual de goiás";"universidade estadual de goias";"ueg";"anapolis";"goias";"brasil";-16.327;"-48.953"
98;"faculdade de tecnologia ensitec";"faculdade de tecnologia ensitec";"";"curitiba";"parana";"brasil";-25.428;"-49.273"
150;"faculdade de ciências contábeis de nova andradina - facinan";"faculdade de ciencias contabeis de nova andradina";"facinan";"nova andradina";"mato grosso do sul";"brasil";-22.233;"-53.343"
151;"faculdade de ilha solteira";"faculdade de ilha solteira";"";"ilha solteira";"sao paulo";"brasil";-20.433;"-51.343"
153;"escola superior de tecnologia e educação de rio claro";"escola superior de tecnologia e educacao de rio claro";"";"rio claro";"sao paulo";"brasil";-22.411;"-47.561"
154;"faculdade alagoana de administração";"faculdade alagoana de administracao";"";"maceio";"alagoas";"brasil";-9.666;"-35.735"
156;"faculdade do guarujá";"faculdade do guaruja";"";"guaruja";"sao paulo";"brasil";-23.993;"-46.256"
157;"faculdade do maranhão";"faculdade do maranhao";"";"sao luis";"maranhao";"brasil";-2.53;"-44.303"
158;"faculdade do norte novo de apucarana";"faculdade do norte novo de apucarana";"";"apucarana";"parana";"brasil";-23.551;"-51.461"
159;"faculdade do sudeste mineiro";"faculdade do sudeste mineiro";"";"juiz de fora";"minas gerais";"brasil";-21.764;"-43.35"
160;"faculdade de tecnologia rubens lara";"faculdade de tecnologia rubens lara";"";"santos";"sao paulo";"brasil";-23.961;"-46.334"
161;"faculdade de telêmaco borba";"faculdade de telemaco borba";"";"telemaco borba";"parana";"brasil";-24.324;"-50.616"
163;"faculdade adjetivo cetep";"faculdade adjetivo cetep";"";"mariana";"minas gerais";"brasil";-20.378;"-43.416"
164;"faculdade de tecnologia estácio de curitiba";"faculdade de tecnologia estacio de curitiba";"";"curitiba";"parana";"brasil";-25.428;"-49.273"
165;"faculdade de tecnologia evolução";"faculdade de tecnologia evolucao";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
166;"instituto manchester paulista de ensino superior";"instituto manchester paulista de ensino superior";"";"sorocaba";"sao paulo";"brasil";-23.502;"-47.458"
167;"christus faculdade do piauí";"christus faculdade do piaui";"";"piripiri";"piaui";"brasil";-4.273;"-41.777"
136;"faculdade octógono";"faculdade octogono";"";"santo andre";"sao paulo";"brasil";-23.664;"-46.538"
143;"faculdade intermunicipal do noroeste do paraná";"faculdade intermunicipal do noroeste do parana";"";"loanda";"parana";"brasil";-22.923;"-53.137"
145;"centro regional universitário de espírito santo do pinhal";"centro regional universitario de espirito santo do pinhal";"";"espirito santo do pinhal";"sao paulo";"brasil";-22.191;"-46.741"
146;"centro universitário toledo";"centro universitario toledo";"";"aracatuba";"sao paulo";"brasil";-21.209;"-50.433"
169;"faculdade de roseira";"faculdade de roseira";"";"roseira";"sao paulo";"brasil";-22.898;"-45.305"
170;"faculdade redentor";"faculdade redentor";"";"itaperuna";"rio de janeiro";"brasil";-21.205;"-41.888"
128;"faculdade de administração de cataguases";"faculdade de administracao de cataguases";"";"cataguases";"minas gerais";"brasil";-21.389;"-42.697"
130;"centro universitário facex";"centro universitario facex";"";"natal";"rio grande do norte";"brasil";-5.795;"-35.209"
131;"centro universitário luterano de manaus";"centro universitario luterano de manaus";"";"manaus";"amazonas";"brasil";-3.102;"-60.025"
172;"faculdade de educação ciências e letras de paraíso";"faculdade de educacao ciencias e letras de paraiso";"";"paraiso do tocantins";"tocantins";"brasil";-10.176;"-48.867"
173;"faculdade metropolitana de caieiras";"faculdade metropolitana de caieiras";"";"caieiras";"sao paulo";"brasil";-23.364;"-46.741"
174;"faculdade de minas bh";"faculdade de minas bh";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
175;"faculdades integradas urubupungá";"faculdades integradas urubupunga";"";"pereira barreto";"sao paulo";"brasil";-20.638;"-51.109"
176;"faculdades integradas vianna júnior";"faculdades integradas vianna junior";"";"juiz de fora";"minas gerais";"brasil";-21.764;"-43.35"
177;"faculdade sul fluminense";"faculdade sul fluminense";"";"volta redonda";"rio de janeiro";"brasil";-22.523;"-44.104"
178;"faculdade vale do gorutuba";"faculdade vale do gorutuba";"";"nova porteirinha";"minas gerais";"brasil";-15.803;"-43.301"
179;"trevisan escola superior de negócios";"trevisan escola superior de negocios";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
168;"escola brasileira de administração pública e de empresas";"escola brasileira de administracao publica e de empresas";"ebape/fgv";"rio de janeior";"rio de janeiro";"brasil";-22.903;"-43.208"
171;"faculdade anglo-americano de chapecó";"faculdade anglo americano de chapeco";"";"chapeco";"santa catarina";"brasil";-27.096;"-52.618"
182;"faculdade de ciências sociais aplicadas";"faculdade de ciencias sociais aplicadas";"";"xaxim";"santa catarina";"brasil";-26.962;"-52.535"
183;"centro universitário de sete lagoas";"centro universitario de sete lagoas";"";"sete lagoas";"minas gerais";"brasil";-19.466;"-44.247"
374;"faculdade parque";"faculdade parque";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
155;"faculdades integradas padre albino";"faculdades integradas padre albino";"";"catanduva";"sao paulo";"brasil";-21.138;"-48.973"
162;"faculdade afirmativo";"faculdade afirmativo";"";"cuiaba";"mato grosso";"brasil";-15.596;"-56.097"
133;"centro universitário módulo";"centro universitario modulo";"";"caraguatatuba";"sao paulo";"brasil";-23.62;"-45.413"
135;"faculdade de tecnologia senai anchieta";"faculdade de tecnologia senai anchieta";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
141;"faculdade católica santa teresinha";"faculdade catolica santa teresinha";"";"caico";"rio grande do norte";"brasil";-6.458;"-37.098"
142;"instituto superior de educação de matias barbosa";"instituto superior de educacao de matias barbosa";"";"matias barbosa";"minas gerais";"brasil";-21.869;"-43.319"
134;"faculdade de informática lemos de castro";"faculdade de informatica lemos de castro";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
