url,rank,country,presence,impact,openness,excellence
http://ksu.edu.sa/,244,sa,141,315,564,397
http://www.ehu.es/,245,es,297,399,186,387
http://www.auth.gr/,246,gr,105,467,466,302
http://www.k-state.edu/,247,us,138,450,255,372
http://www.shu.edu.cn/,248,cn,680,176,454,477
http://www.osaka-u.ac.jp/,249,jp,743,588,359,98
http://www.uni-regensburg.de/,250,de,381,340,532,294
http://www.vcu.edu/,251,us,919,292,539,252
http://www.eur.nl/,252,nl,1067,902,118,54
http://www.yonsei.ac.kr/,253,kr,147,407,1237,174
http://www.jnu.edu.cn/,254,cn,711,41,1014,925
http://www.tcd.ie/,255,ie,832,369,367,265
http://www.bnu.edu.cn/,256,cn,531,166,1169,379
http://www.nagoya-u.ac.jp/,257,jp,373,541,462,182
http://www.keio.ac.jp/,258,jp,619,267,565,357
http://www.cvut.cz/,259,cz,268,237,361,623
http://www.adelaide.edu.au/,260,au,1453,324,495,202
http://www.ru.nl/,261,nl,329,570,467,191
http://www.chalmers.se/,262,se,693,401,166,369
http://www.ecnu.edu.cn/,263,cn,858,137,766,511
http://www.uni-stuttgart.de/,264,de,730,312,275,413
http://www.dur.ac.uk/,265,uk,762,438,324,244
http://www.ufrj.br/,266,br,530,538,76,358
http://www.nju.edu.cn/,267,cn,831,286,1108,184
http://www.uvm.edu/,268,us,134,310,996,390
http://www.ruc.edu.cn/,269,cn,321,138,286,996
http://www.su.se/,270,se,631,404,700,211
http://www.drexel.edu/,271,us,202,314,1016,366
http://www.tu-darmstadt.de/,272,de,354,505,170,398
http://www.uni-marburg.de/,273,de,233,531,439,306
http://www.aau.dk/,274,dk,116,544,180,475
http://www.ruhr-uni-bochum.de/,275,de,1489,264,743,239
http://ufsc.br/,276,br,316,501,10,730
http://www.istanbul.edu.tr/,277,tr,69,594,59,640
http://www.ust.hk/,278,hk,234,476,698,284
http://www.nenu.edu.cn/,279,cn,799,69,1583,631
http://www.ccu.edu.tw/,280,tw,581,143,288,884
http://www.dal.ca/,281,ca,639,435,399,303
http://www.massey.ac.nz/,282,nz,1107,179,458,539
http://www.uibk.ac.at/,283,at,92,390,816,425
http://www.uni-mainz.de/,284,de,427,429,1024,178
http://www.tongji.edu.cn/,285,cn,566,131,2284,329
http://www.polyu.edu.hk/,286,hk,742,521,447,194
http://www.uj.edu.pl/,287,pl,106,439,526,435
http://www.uc.pt/,288,pt,305,520,209,427
http://www.ntua.gr/,289,gr,607,388,189,473
http://www.umanitoba.ca/,290,ca,714,468,351,296
http://www.unibas.ch/,291,ch,350,484,769,251
http://www.clemson.edu/,292,us,1459,205,443,448
http://www.york.ac.uk/,293,uk,691,302,1030,284
http://www.uwa.edu.au/,294,au,704,415,1170,136
http://www.wvu.edu/,295,us,126,269,1374,436
http://www.auburn.edu/,296,us,712,273,415,514
http://www.unesp.br/,297,br,391,910,15,385
http://www.bc.edu/,298,us,699,242,379,598
http://www.unil.ch/,299,ch,50,536,1290,267
http://www.ucf.edu/,300,us,534,230,1222,376
http://www.liv.ac.uk/,301,uk,634,408,1273,146
http://www.unito.it/,302,it,537,539,800,169
http://www.uqam.ca/,303,ca,741,316,230,586
http://www.case.edu/,304,us,813,372,1530,131
http://www.korea.ac.kr/,305,kr,499,489,815,221
http://www.umu.se/,306,se,412,318,1150,338
