rank;value;place
285;43.2;Queensland University of Technology (QUT)
285;43.2;Friedrich-Alexander-Universität Erlangen-Nürnberg
287;43.1;Universidad Austral
288;42.9;Universität Innsbruck
289;42.3;Universität Leipzig
290;42.2;University of Victoria
290;42.2;École des Ponts ParisTech
292;42.1;Ben Gurion University of The Negev
293;42.0;University of Porto
294;41.9;Arizona State University
294;41.9;Kobe University
294;41.9;Universiti Teknologi Malaysia 
294;41.9;Tokyo Medical and Dental University (TMDU)
298;41.7;Universitat Pompeu Fabra
298;41.7;Laval University
300;41.6;Indian Institute of Technology Kanpur (IITK)
300;41.6;George Washington University
300;41.6;Johannes Gutenberg Universität Mainz
300;41.6;University at Buffalo SUNY
304;41.5;RMIT University
305;41.3;Università degli Studi di Roma - Tor Vergata
305;41.3;University of Cologne
305;41.3;Al-Farabi Kazakh National University
308;41.1;University of Southern Denmark
309;41.0;Universiti Sains Malaysia (USM)
310;40.9;University of Indonesia
310;40.9;Universität Konstanz
312;40.8;Universidade Nova de Lisboa
313;40.7;University of Utah
314;40.5;Hiroshima University
314;40.5;University of Surrey
316;40.4;Universidad Nacional de Colombia
316;40.4;Brandeis University
318;40.3;University of the Witwatersrand
318;40.3;University of Jyväskylä
318;40.3;Hong Kong Baptist University
321;40.2;Sun Yat-sen University
322;40.1;Indian Institute of Technology Madras (IITM)
322;40.1;Bauman Moscow State Technical University
324;40.0;Indian Institute of Technology, Kharagpur
324;40.0;Griffith University
324;40.0;L.N. Gumilyov Eurasian National University 
324;40.0;University of Hawai'i at Mañoa 
328;39.9;Nankai University
328;39.9;Novosibirsk State University
328;39.9;Universität Mannheim
331;39.8;SOAS, University of London 
331;39.8;Curtin University of Technology
333;39.7;University of South Australia
334;39.6;King Abdul Aziz University (KAU)
335;39.5;University of Warsaw 
335;39.5;Wuhan University
337;39.3;Universitat Politècnica de Catalunya 
338;39.2;Ecole Normale Supérieure de Cachan
338;39.2;University of Tromso
338;39.2;Wake Forest University
341;39.1;Aix-Marseille University
341;39.1;City University London
341;39.1;Boston College
341;39.1;Julius-Maximilians-Universität Würzburg
345;39.0;University of Naples - Federico Ii
346;38.9;Massey University
347;38.8;Pontificia Universidad Javeriana
348;38.5;Universität Bremen
348;38.5;Iowa State University
350;38.4;James Cook University
351;38.3;University of Coimbra
352;38.1;University of Florence
352;38.1;Heriot-Watt University
352;38.1;Stony Brook University, State University of New York
355;38.0;Universidad Carlos III de Madrid
355;38.0;Virginia Polytechnic Institute and State University
355;38.0;Ewha Womans University
355;38.0;Brunel University London
359;37.7;Rensselaer Polytechnic Institute
360;37.5;Deakin University
360;37.5;The American University in Cairo
362;37.4;Tampere University of Technology 
363;37.3;University of Bordeaux
363;37.3;Aalborg University
365;37.1;Politecnico di Torino
366;37.0;Dublin City University
367;36.9;University of the Philippines
367;36.9;Tilburg University
367;36.9;Université Paris-Dauphine
370;36.8;University of Essex
371;36.6;Jagiellonian University
371;36.6;Università degli Studi di Pavia
371;36.6;National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)
371;36.6;University of Kansas
375;36.5;University of Mississippi
376;36.4;Universiti Putra Malaysia (UPM)
377;36.2;Università Cattolica del Sacro Cuore
377;36.2;University of Texas at Dallas 
379;36.1;University of Tartu
379;36.1;Washington State University
379;36.1;Oxford Brookes University
379;36.1;Taipei Medical University
379;36.1;Xi'an Jiaotong University
384;36.0;Sogang University
385;35.9;Politécnica de Madrid
385;35.9;United Arab Emirates University
385;35.9;University of Tampere
388;35.8;Ruhr-Universität Bochum
388;35.8;North Carolina State University
390;35.6;Stellenbosch University
390;35.6;American University of Sharjah
390;35.6;Aston University
393;35.5;Tongji University
394;35.2;University of Turin
395;35.0;Universität Regensburg
396;34.9;Christian-Albrechts-University zu Kiel
397;34.8;Universität Jena
397;34.8;University of New Mexico
399;34.7;Bilkent University
399;34.7;Bogaziçi Üniversitesi
399;34.7;Moscow State Institute of International Relations
399;34.7;Northeastern University
