"no_ies";"latitude";"longitude";"count"
"CENTRO UNIVERSITÁRIO SANT´ANNA";-23.548;-46.636;54
"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ";-27.096;-52.618;54
"UNIVERSIDADE DO EXTREMO SUL CATARINENSE";-28.678;-49.37;54
"UNIVERSIDADE VILA VELHA";-20.33;-40.292;54
"FACULDADE SUMARÉ";-23.548;-46.636;53
"UNIVERSIDADE DO OESTE PAULISTA";-22.126;-51.389;53
"UNIVERSIDADE DO SAGRADO CORAÇÃO";-22.315;-49.061;53
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL";-20.443;-54.646;53
"UNIVERSIDADE SÃO JUDAS TADEU";-23.548;-46.636;53
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS";-16.679;-49.254;52
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO";-23.548;-46.636;52
"UNIVERSIDADE DE MOGI DAS CRUZES";-23.523;-46.188;52
"UNIVERSIDADE FEDERAL DE ALAGOAS";-9.666;-35.735;52
"UNIVERSIDADE GUARULHOS";-23.463;-46.533;52
"CENTRO UNIVERSITÁRIO DE MARINGÁ - CEUMAR";-23.425;-51.939;51
"UNIVERSIDADE FEDERAL DO MARANHÃO";-2.53;-44.303;51
"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";-22.744;-43.708;51
"UNIVERSIDADE REGIONAL DE BLUMENAU";-26.919;-49.066;50
"CENTRO UNIVERSITÁRIO EURO-AMERICANO";-15.78;-47.93;49
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO";-22.903;-43.208;49
"UNIVERSIDADE CASTELO BRANCO";-22.903;-43.208;49
"CENTRO UNIVERSITÁRIO LA SALLE";-29.918;-51.184;48
"UNIVERSIDADE DE SÃO PAULO";-21.178;-47.81;48
"UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY";-22.786;-43.312;48
"UNIVERSIDADE DO VALE DO ITAJAÍ";-26.908;-48.662;48
"UNIVERSIDADE METODISTA DE PIRACICABA";-22.725;-47.649;48
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ";-25.428;-49.273;48
"CENTRO UNIVERSITÁRIO UNIVATES";-29.467;-51.961;47
"UNIVERSIDADE METODISTA DE SÃO PAULO";-23.694;-46.565;47
"UNIVERSIDADE POTIGUAR";-5.795;-35.209;47
"CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB";-15.78;-47.93;46
"CENTRO UNIVERSITÁRIO DO NORTE";-3.102;-60.025;46
"UNIVERSIDADE BANDEIRANTE DE SÃO PAULO";-23.694;-46.565;46
"UNIVERSIDADE CATÓLICA DE SANTOS";-23.961;-46.334;46
"UNIVERSIDADE DE CUIABÁ";-15.596;-56.097;46
"UNIVERSIDADE TIRADENTES";-10.911;-37.072;46
"Centro Universitário Estácio da Bahia - Estácio FIB";-12.971;-38.511;45
"CENTRO UNIVERSITÁRIO FIEO";-23.533;-46.792;45
"CENTRO UNIVERSITÁRIO DO NORTE PAULISTA";-20.82;-49.379;44
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";;;44
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";-7.231;-35.881;44
"UNIVERSIDADE PAULISTA";-23.502;-47.458;44
"UNIVERSIDADE PAULISTA";-23.179;-45.887;44
"CENTRO UNIVERSITÁRIO MONTE SERRAT";-23.961;-46.334;43
"UNIVERSIDADE CATÓLICA DE BRASÍLIA";-15.78;-47.93;43
"UNIVERSIDADE DO GRANDE ABC";-23.664;-46.538;43
"UNIVERSIDADE DO SUL DE SANTA CATARINA";-28.467;-49.007;43
"UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO";-22.903;-43.208;43
"UNIVERSIDADE VEIGA DE ALMEIDA";-22.903;-43.208;43
"UNIVERSIDADE DO CEUMA - UNICEUMA";-2.53;-44.303;42
"UNIVERSIDADE FEDERAL DE RORAIMA";2.82;-60.673;42
"UNIVERSIDADE NORTE DO PARANÁ";-23.31;-51.163;42
"UNIVERSIDADE PAULISTA";-23.961;-46.334;42
"CENTRO UNIVERSITÁRIO MOURA LACERDA";-21.178;-47.81;41
"FACULDADE ANHANGÜERA DE CAMPINAS";-22.906;-47.061;41
"UNIVERSIDADE DE FORTALEZA";-3.717;-38.543;41
"UNIVERSIDADE ESTADUAL DE SANTA CRUZ";-14.789;-39.049;41
"UNIVERSIDADE PAULISTA";-23.444;-46.918;41
"CENTRO UNIVERSITÁRIO DE RIO PRETO";-20.82;-49.379;40
"CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU";-8.054;-34.881;40
"CENTRO UNIVERSITÁRIO NEWTON PAIVA";-19.817;-43.956;40
"CENTRO UNIVERSITÁRIO SENAC";-23.548;-46.636;40
"UNIVERSIDADE SALVADOR";-12.971;-38.511;40
"UNIVERSIDADE DA REGIÃO DE JOINVILLE";-26.304;-48.846;39
"UNIVERSIDADE DE SANTO AMARO";-23.548;-46.636;39
"UNIVERSIDADE DO VALE DO PARAÍBA";-23.179;-45.887;39
"UNIVERSIDADE FEDERAL DO ACRE";-9.975;-67.81;39
"UNIVERSIDADE ANHANGUERA - UNIDERP";-20.443;-54.646;38
"UNIVERSIDADE CATÓLICA DE PERNAMBUCO";-8.054;-34.881;38
"UNIVERSIDADE CATÓLICA DO SALVADOR";-12.971;-38.511;38
"UNIVERSIDADE DE SÃO PAULO";-22.018;-47.891;38
"UNIVERSIDADE PRESBITERIANA MACKENZIE";-23.548;-46.636;38
"UNIVERSIDADE VALE DO RIO DOCE";-18.851;-41.949;38
"CENTRO UNIVERSITÁRIO DE VOTUPORANGA";-20.423;-49.973;37
"CENTRO UNIVERSITÁRIO METODISTA";-30.033;-51.23;37
"UNIVERSIDADE CATÓLICA DE PETRÓPOLIS";-22.505;-43.179;37
"UNIVERSIDADE ESTADUAL DE PONTA GROSSA";-25.095;-50.162;37
"UNIVERSIDADE NOVE DE JULHO";;;37
"UNIVERSIDADE PAULISTA";-15.78;-47.93;37
"CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE";-15.647;-56.133;36
"UNIVERSIDADE DA AMAZÔNIA";-1.456;-48.504;36
"UNIVERSIDADE IBIRAPUERA";-23.548;-46.636;36
"CENTRO UNIVERSITÁRIO DE ARARAQUARA";-21.794;-48.176;35
"CENTRO UNIVERSITÁRIO HERMINIO OMETTO";-22.357;-47.384;35
"UNIVERSIDADE DO ESTADO DA BAHIA";-12.971;-38.511;35
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.883;-43.104;35
"UNIVERSIDADE ESTADUAL DO CEARÁ";-3.717;-38.543;35
"UNIVERSIDADE PAULISTA";-23.186;-46.884;35
"UNIVERSIDADE PAULISTA";-3.102;-60.025;35
"UNIVERSIDADE DE MARÍLIA";-22.214;-49.946;34
"UNIVERSIDADE DE UBERABA";-19.748;-47.932;34
"UNIVERSIDADE DO PLANALTO CATARINENSE";-27.816;-50.326;34
"UNIVERSIDADE ESTADUAL DO PIAUÍ";-5.089;-42.802;34
"UNIVERSIDADE NILTON LINS";-3.102;-60.025;34
"UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL";-28.388;-53.915;34
"CENTRO UNIVERSITÁRIO FRANCISCANO";-29.684;-53.807;33
"CENTRO UNIVERSITÁRIO PADRE ANCHIETA";-23.186;-46.884;33
"FACULDADES INTEGRADAS TORRICELLI";-23.463;-46.533;33
"UNIVERSIDADE CATÓLICA DOM BOSCO";-20.443;-54.646;33
"UNIVERSIDADE FEDERAL DE OURO PRETO";-20.288;-43.508;33
"UNIVERSIDADE FEDERAL DO OESTE DO PARÁ";-2.443;-54.708;33
"CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL";-22.191;-46.741;32
"CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ";-23.664;-46.538;32
"CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX";-19.817;-43.956;32
"CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO";-23.201;-47.287;32
"FACULDADE DE SÃO PAULO";-23.548;-46.636;32
"UNIVERSIDADE CATÓLICA DE PELOTAS";-31.772;-52.343;32
"UNIVERSIDADE DO ESTADO DO PARÁ";-1.456;-48.504;32
"UNIVERSIDADE ESTÁCIO DE SÁ";;;32
"UNIVERSIDADE SANTA CECÍLIA";-23.961;-46.334;32
"CENTRO UNIVERSITÁRIO ANHANGUERA";-23.664;-46.538;31
"CENTRO UNIVERSITÁRIO DE BARRA MANSA";-22.544;-44.171;31
"CENTRO UNIVERSITÁRIO DE BRASÍLIA";-15.78;-47.93;31
"CENTRO UNIVERSITÁRIO DO TRIÂNGULO";-18.919;-48.277;31
"FACULDADE ESAMC SOROCABA";-23.502;-47.458;31
"FACULDADE NORDESTE";-3.717;-38.543;31
"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS";-22.221;-54.806;31
"UNIVERSIDADE BANDEIRANTE DE SÃO PAULO";-23.533;-46.792;31
"UNIVERSIDADE CAMILO CASTELO BRANCO";-23.548;-46.636;31
"UNIVERSIDADE DE RIO VERDE";-17.798;-50.928;31
"UNIVERSIDADE DO SUL DE SANTA CATARINA";;;31
"UNIVERSIDADE FEDERAL DO AMAZONAS";;;31
"UNIVERSIDADE PAULISTA";-21.178;-47.81;31
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES";-27.634;-52.274;31
"CENTRO UNIVERSITÁRIO CARIOCA";-22.903;-43.208;30
"CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS";-20.557;-48.568;30
"CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS";-22.221;-54.806;30
"CENTRO UNIVERSITÁRIO DE PATOS DE MINAS";-18.579;-46.518;30
"UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE";-5.188;-37.344;30
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-26.725;-53.518;30
"UNIVERSIDADE DO SUL DE SANTA CATARINA";-27.645;-48.668;30
"UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA";-12.267;-38.967;30
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-2.53;-44.303;30
"UNIVERSIDADE FUMEC";-19.817;-43.956;30
"UNIVERSIDADE IGUAÇU";-22.759;-43.451;30
"UNIVERSIDADE SEVERINO SOMBRA";-22.404;-43.663;30
"CENTRO UNIVERSITÁRIO CENTRAL PAULISTA";-22.018;-47.891;29
"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI";;;29
"CENTRO UNIVERSITÁRIO PLÍNIO LEITE";-22.883;-43.104;29
"FACULDADES ADAMANTINENSES INTEGRADAS";-21.685;-51.073;29
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA";-8.762;-63.904;29
"UNIVERSIDADE DE MOGI DAS CRUZES";-23.548;-46.636;29
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-27.178;-51.505;29
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";-16.735;-43.862;29
"UNIVERSIDADE ESTADUAL DO CENTRO OESTE";-25.395;-51.458;29
"FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE";-23.548;-46.636;28
"UNIÃO DAS FACULDADES DOS GRANDES LAGOS";-20.82;-49.379;28
"UNIVERSIDADE ESTADUAL DA PARAÍBA";-7.231;-35.881;28
"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA";-14.866;-40.839;28
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO";-22.315;-49.061;28
"UNIVERSIDADE FEDERAL DO AMAPÁ";0.039;-51.066;28
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES";-27.359;-53.394;28
"CENTRO UNIVERSITÁRIO CESMAC";-9.666;-35.735;27
"CENTRO UNIVERSITÁRIO CLARETIANO";;;27
"CENTRO UNIVERSITÁRIO DE ANÁPOLIS";-16.327;-48.953;27
"CENTRO UNIVERSITÁRIO DE SETE LAGOAS";-19.466;-44.247;27
"CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS";-19.519;-42.629;27
"CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO";-23.264;-47.299;27
"FACULDADES INTEGRADAS DE TRÊS LAGOAS";-20.751;-51.678;27
"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE";-26.775;-51.015;27
"UNIVERSIDADE DE RIBEIRÃO PRETO";-21.178;-47.81;27
"UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI";-21.136;-44.262;27
"UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL";-23.623;-46.551;27
"UNIVERSIDADE PAULISTA";-20.82;-49.379;27
"UNIVERSIDADE PAULISTA";-16.679;-49.254;27
"CENTRO UNIVERSITÁRIO ASSUNÇÃO";-23.548;-46.636;26
"CENTRO UNIVERSITÁRIO DO SUL DE MINAS";-21.551;-45.43;26
"Centro Universitário Estácio do Ceará";-3.717;-38.543;26
"CENTRO UNIVERSITÁRIO HERMÍNIO DA SILVEIRA";-22.903;-43.208;26
"CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS";-10.167;-48.333;26
"INSTITUTO SUPERIOR TUPY - IST";-26.304;-48.846;26
"UNIVERSIDADE DE CAXIAS DO SUL";-29.171;-51.519;26
"UNIVERSIDADE DE CRUZ ALTA";-28.639;-53.606;26
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-27.008;-51.152;26
"UNIVERSIDADE FEDERAL DE GOIÁS";-18.17;-47.942;26
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";-8.054;-34.881;26
"UNIVERSIDADE PAULISTA";-21.794;-48.176;26
"CENTRO UNIVERSITÁRIO AMPARENSE";-22.701;-46.764;25
"CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL";-15.78;-47.93;25
"FACULDADE ASSIS GURGACZ";-24.956;-53.455;25
"FACULDADE CAMPO LIMPO PAULISTA";-23.206;-46.784;25
"FACULDADE REGIONAL DA BAHIA";-12.971;-38.511;25
"FACULDADES INTEGRADAS DE FERNANDÓPOLIS";-20.284;-50.246;25
"UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ";-3.674;-40.239;25
"UNIVERSIDADE FEDERAL DE GOIÁS";-17.881;-51.714;25
"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI";-22.426;-45.453;25
"UNIVERSIDADE PARANAENSE";-23.766;-53.325;25
"CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM";-21.209;-50.433;24
"CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ";-27.214;-49.643;24
"CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO";-20.849;-41.113;24
"FACULDADE BOA VIAGEM";-8.054;-34.881;24
"FACULDADE PITÁGORAS DE LINHARES";-19.391;-40.072;24
"FACULDADES INTEGRADAS DO VALE DO RIBEIRA";-24.488;-47.844;24
"FACULDADES INTEGRADAS PROMOVE DE BRASILIA";-15.78;-47.93;24
"FACULDADES OPET";-25.428;-49.273;24
"UNIVERSIDADE ANHEMBI MORUMBI";;;24
"UNIVERSIDADE DE UBERABA";;;24
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-26.877;-52.404;24
"UNIVERSIDADE FEDERAL DE ALFENAS";-21.429;-45.947;24
"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI";-18.249;-43.6;24
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO";-19.748;-47.932;24
"UNIVERSIDADE PAULISTA";-22.565;-47.402;24
"CENTRO UNIVERSITÁRIO DE VOLTA REDONDA";-22.523;-44.104;23
"CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO";-18.944;-46.993;23
"CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO";-19.539;-40.631;23
"CENTRO UNIVERSITÁRIO FILADÉLFIA";-23.31;-51.163;23
"CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO";-23.548;-46.636;23
"FACULDADE ANHANGUERA DE ANÁPOLIS";-16.327;-48.953;23
"FACULDADE DE TECNOLOGIA E CIÊNCIAS";-12.971;-38.511;23
"FACULDADE DE TECNOLOGIA TECBRASIL";-29.168;-51.179;23
"FACULDADE DOS GUARARAPES";-8.113;-35.015;23
"FACULDADE RUY BARBOSA";-12.971;-38.511;23
"FACULDADES INTEGRADAS DO BRASIL";-25.428;-49.273;23
"FACULDADES INTEGRADAS IPIRANGA";-1.456;-48.504;23
"UNIVERSIDADE DE FRANCA";;;23
"UNIVERSIDADE DO VALE DO SAPUCAÍ";-22.23;-45.936;23
"UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL";-9.752;-36.661;23
"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA";-13.858;-40.084;23
"UNIVERSIDADE FEDERAL DE LAVRAS";-21.245;-45;23
"UNIVERSIDADE PAULISTA";-22.315;-49.061;23
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES";-28.299;-54.263;23
"UNIVERSIDADE SALGADO DE OLIVEIRA";-22.827;-43.054;23
"CENTRO UNIVERSITÁRIO CÂNDIDO RONDON";-15.596;-56.097;22
"CENTRO UNIVERSITÁRIO DE FORMIGA";-20.464;-45.426;22
"CENTRO UNIVERSITÁRIO FACVEST";-27.816;-50.326;22
"CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB";-21.969;-46.798;22
"CENTRO UNIVERSITÁRIO GERALDO DI BIASE";-22.523;-44.104;22
"CENTRO UNIVERSITÁRIO INTERNACIONAL";-25.428;-49.273;22
"CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN";-15.78;-47.93;22
"FACULDADE DE JAGUARIÚNA";-22.706;-46.986;22
"FACULDADE PITÁGORAS DE BELO HORIZONTE";-19.817;-43.956;22
"FACULDADES INTEGRADAS APARÍCIO CARVALHO";-8.762;-63.904;22
"FIAM-FAAM - CENTRO UNIVERSITÁRIO";-23.548;-46.636;22
"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA";-27.597;-48.549;22
"UNIVERSIDADE DA REGIÃO DA CAMPANHA";-31.331;-54.107;22
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.505;-43.179;22
"UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO";-5.188;-37.344;22
"CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE";-25.428;-49.273;21
"CENTRO UNIVERSITÁRIO DE GOIÁS";-16.679;-49.254;21
"Centro Universitário FACEX";-5.795;-35.209;21
"CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS";-3.102;-60.025;21
"CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO";-23.463;-46.533;21
"CENTRO UNIVERSITÁRIO MÓDULO";-23.62;-45.413;21
"CENTRO UNIVERSITÁRIO SÃO CAMILO";-23.548;-46.636;21
"CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO";-22.903;-43.208;21
"ESCOLA SUPERIOR DA AMAZÔNIA";-1.456;-48.504;21
"Faculdade Anhanguera de São Caetano";-23.623;-46.551;21
"FACULDADE ESAMC CAMPINAS";-22.906;-47.061;21
"FACULDADE GAMA E SOUZA";-22.903;-43.208;21
"FACULDADE INTEGRADA DA GRANDE FORTALEZA";-3.717;-38.543;21
"FACULDADE METROPOLITANA DA GRANDE RECIFE";-8.113;-35.015;21
"UNIVERSIDADE DE ITAÚNA";-20.075;-44.576;21
"UNIVERSIDADE ESTÁCIO DE SÁ";-21.754;-41.324;21
"UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ";-24.956;-53.455;21
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO";-20.82;-49.379;21
"UNIVERSIDADE PAULISTA";-22.662;-50.412;21
"UNIVERSIDADE SALGADO DE OLIVEIRA";-22.883;-43.104;21
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ";-26.229;-52.671;21
"Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul";-26.486;-49.067;20
"CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS";-3.102;-60.025;20
"CENTRO UNIVERSITÁRIO FRANCISCANO DO PARANÁ";-25.428;-49.273;20
"CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ";-10.882;-61.944;20
"CENTRO UNIVERSITÁRIO RITTER DOS REIS";-30.033;-51.23;20
"CENTRO UNIVERSITÁRIO TOLEDO";-21.209;-50.433;20
"FACULDADE DA SERRA GAÚCHA";-29.168;-51.179;20
"FACULDADE DE AMERICANA";-22.739;-47.331;20
"FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS";-23.179;-45.887;20
"FACULDADE EDUCACIONAL DE ARAUCÁRIA";-25.593;-49.41;20
"Faculdade Estácio do Recife - Estácio FIR";-8.054;-34.881;20
"FACULDADE MAURÍCIO DE NASSAU DE SALVADOR";-12.971;-38.511;20
"FACULDADES INTEGRADAS CLARETIANAS";-22.411;-47.561;20
"INSTITUTO DE ESTUDOS SUPERIORES DA AMAZÔNIA";-1.456;-48.504;20
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ";-3.717;-38.543;20
"INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO";-16.679;-49.254;20
"UNIVERSIDADE DO CONTESTADO";-26.177;-50.39;20
"UNIVERSIDADE DO ESTADO DA BAHIA";-17.535;-39.742;20
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-2.628;-56.736;20
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.282;-42.531;20
"UNIVERSIDADE FEDERAL DO PARÁ";-5.369;-49.118;20
"UNIVERSIDADE VALE DO RIO VERDE";-21.697;-45.253;20
"UNIVERSIDADE VEIGA DE ALMEIDA";-22.879;-42.019;20
