name;name_ascii;latitude;longitude
universidade estadual de campinas;universidade estadual de campinas;-22.906;-47.061
pontifícia universidade católica de campinas;pontifícia universidade católica de campinas;-22.906;-47.061
universidade estadual de maringá;universidade estadual de maringá;-23.425;-51.939
universidade federal de viçosa;universidade federal de viçosa;-20.754;-42.882
universidade gama filho;universidade gama filho;-22.903;-43.208
pontifícia universidade católica do paraná;pontifícia universidade católica do paraná;-25.428;-49.273
pontifícia universidade católica do rio grande do sul;pontifícia universidade católica do rio grande do sul;-30.033;-51.23
universidade federal de são carlos;universidade federal de são carlos;-22.018;-47.891
universidade federal do piauí;universidade federal do piauí;-5.089;-42.802
universidade do estado do amazonas;universidade do estado do amazonas;-3.102;-60.025
universidade cândido mendes;universidade cândido mendes;-22.903;-43.208
universidade federal de mato grosso;universidade federal de mato grosso;-15.596;-56.097
universidade feevale;universidade feevale;-29.678;-51.131
universidade tuiuti do paraná;universidade tuiuti do paraná;-25.428;-49.273
centro universitário augusto motta;centro universitário augusto motta;-22.903;-43.208
centro universitário barão de mauá;centro universitário barão de mauá;-21.178;-47.81
centro universitário de belo horizonte;centro universitário de belo horizonte;-19.817;-43.956
universidade federal do rio grande;universidade federal do rio grande;-32.035;-52.099
universidade positivo;universidade positivo;-25.428;-49.273
centro universitário da cidade;centro universitário da cidade;-22.903;-43.208
universidade braz cubas;universidade braz cubas;-23.523;-46.188
universidade cidade de são paulo;universidade cidade de são paulo;-23.548;-46.636
universidade de franca;universidade de franca;-20.539;-47.401
universidade de santa cruz do sul;universidade de santa cruz do sul;-29.718;-52.426
universidade de sorocaba;universidade de sorocaba;-23.502;-47.458
universidade de taubaté;universidade de taubaté;-23.026;-45.555
centro universitário sant´anna;centro universitário sant´anna;-23.548;-46.636
universidade comunitária da região de chapecó;universidade comunitária da região de chapecó;-27.096;-52.618
universidade do extremo sul catarinense;universidade do extremo sul catarinense;-28.678;-49.37
universidade vila velha;universidade vila velha;-20.33;-40.292
faculdade sumaré;faculdade sumaré;-23.548;-46.636
universidade do oeste paulista;universidade do oeste paulista;-22.126;-51.389
universidade do sagrado coração;universidade do sagrado coração;-22.315;-49.061
universidade federal de mato grosso do sul;universidade federal de mato grosso do sul;-20.443;-54.646
universidade são judas tadeu;universidade são judas tadeu;-23.548;-46.636
pontifícia universidade católica de goiás;pontifícia universidade católica de goiás;-16.679;-49.254
pontifícia universidade católica de são paulo;pontifícia universidade católica de são paulo;-23.548;-46.636
universidade de mogi das cruzes;universidade de mogi das cruzes;-23.523;-46.188
universidade federal de alagoas;universidade federal de alagoas;-9.666;-35.735
universidade guarulhos;universidade guarulhos;-23.463;-46.533
centro universitário de maringá - ceumar;centro universitário de maringá - ceumar;-23.425;-51.939
universidade federal do maranhão;universidade federal do maranhão;-2.53;-44.303
universidade federal rural do rio de janeiro;universidade federal rural do rio de janeiro;-22.744;-43.708
universidade regional de blumenau;universidade regional de blumenau;-26.919;-49.066
centro universitário euro-americano;centro universitário euro-americano;-15.78;-47.93
pontifícia universidade católica do rio de janeiro;pontifícia universidade católica do rio de janeiro;-22.903;-43.208
universidade castelo branco;universidade castelo branco;-22.903;-43.208
centro universitário la salle;centro universitário la salle;-29.918;-51.184
universidade do grande rio professor josé de souza herdy;universidade do grande rio professor josé de souza herdy;-22.786;-43.312
universidade do vale do itajaí;universidade do vale do itajaí;-26.908;-48.662
universidade metodista de piracicaba;universidade metodista de piracicaba;-22.725;-47.649
universidade tecnológica federal do paraná;universidade tecnológica federal do paraná;-25.428;-49.273
centro universitário univates;centro universitário univates;-29.467;-51.961
universidade metodista de são paulo;universidade metodista de são paulo;-23.694;-46.565
universidade potiguar;universidade potiguar;-5.795;-35.209
centro universitário do instituto de educação superior de brasília - iesb;centro universitário do instituto de educação superior de brasília - iesb;-15.78;-47.93
centro universitário do norte;centro universitário do norte;-3.102;-60.025
universidade católica de santos;universidade católica de santos;-23.961;-46.334
universidade de cuiabá;universidade de cuiabá;-15.596;-56.097
universidade tiradentes;universidade tiradentes;-10.911;-37.072
centro universitário estácio da bahia - estácio fib;centro universitário estácio da bahia - estácio fib;-12.971;-38.511
centro universitário fieo;centro universitário fieo;-23.533;-46.792
centro universitário do norte paulista;centro universitário do norte paulista;-20.82;-49.379
universidade estadual de montes claros;universidade estadual de montes claros;;
universidade federal de campina grande;universidade federal de campina grande;-7.231;-35.881
centro universitário monte serrat;centro universitário monte serrat;-23.961;-46.334
universidade católica de brasília;universidade católica de brasília;-15.78;-47.93
universidade do grande abc;universidade do grande abc;-23.664;-46.538
universidade do sul de santa catarina;universidade do sul de santa catarina;-28.467;-49.007
universidade federal do estado do rio de janeiro;universidade federal do estado do rio de janeiro;-22.903;-43.208
universidade veiga de almeida;universidade veiga de almeida;-22.903;-43.208
universidade do ceuma - uniceuma;universidade do ceuma - uniceuma;-2.53;-44.303
universidade federal de roraima;universidade federal de roraima;2.82;-60.673
universidade norte do paraná;universidade norte do paraná;-23.31;-51.163
centro universitário moura lacerda;centro universitário moura lacerda;-21.178;-47.81
faculdade anhangüera de campinas;faculdade anhangüera de campinas;-22.906;-47.061
universidade de fortaleza;universidade de fortaleza;-3.717;-38.543
universidade estadual de santa cruz;universidade estadual de santa cruz;-14.789;-39.049
centro universitário de rio preto;centro universitário de rio preto;-20.82;-49.379
centro universitário maurício de nassau;centro universitário maurício de nassau;-8.054;-34.881
centro universitário newton paiva;centro universitário newton paiva;-19.817;-43.956
centro universitário senac;centro universitário senac;-23.548;-46.636
universidade salvador;universidade salvador;-12.971;-38.511
universidade da região de joinville;universidade da região de joinville;-26.304;-48.846
universidade de santo amaro;universidade de santo amaro;-23.548;-46.636
universidade do vale do paraíba;universidade do vale do paraíba;-23.179;-45.887
universidade federal do acre;universidade federal do acre;-9.975;-67.81
universidade anhanguera - uniderp;universidade anhanguera - uniderp;-20.443;-54.646
universidade católica de pernambuco;universidade católica de pernambuco;-8.054;-34.881
universidade católica do salvador;universidade católica do salvador;-12.971;-38.511
universidade presbiteriana mackenzie;universidade presbiteriana mackenzie;-23.548;-46.636
universidade vale do rio doce;universidade vale do rio doce;-18.851;-41.949
centro universitário de votuporanga;centro universitário de votuporanga;-20.423;-49.973
centro universitário metodista;centro universitário metodista;-30.033;-51.23
universidade católica de petrópolis;universidade católica de petrópolis;-22.505;-43.179
universidade estadual de ponta grossa;universidade estadual de ponta grossa;-25.095;-50.162
centro universitário de várzea grande;centro universitário de várzea grande;-15.647;-56.133
universidade da amazônia;universidade da amazônia;-1.456;-48.504
universidade ibirapuera;universidade ibirapuera;-23.548;-46.636
centro universitário de araraquara;centro universitário de araraquara;-21.794;-48.176
centro universitário herminio ometto;centro universitário herminio ometto;-22.357;-47.384
universidade do estado da bahia;universidade do estado da bahia;-12.971;-38.511
universidade estadual do ceará;universidade estadual do ceará;-3.717;-38.543
universidade de marília;universidade de marília;-22.214;-49.946
universidade de uberaba;universidade de uberaba;-19.748;-47.932
universidade do planalto catarinense;universidade do planalto catarinense;-27.816;-50.326
universidade estadual do piauí;universidade estadual do piauí;-5.089;-42.802
universidade nilton lins;universidade nilton lins;-3.102;-60.025
universidade regional do noroeste do estado do rio grande do sul;universidade regional do noroeste do estado do rio grande do sul;-28.388;-53.915
centro universitário franciscano;centro universitário franciscano;-29.684;-53.807
centro universitário padre anchieta;centro universitário padre anchieta;-23.186;-46.884
faculdades integradas torricelli;faculdades integradas torricelli;-23.463;-46.533
universidade católica dom bosco;universidade católica dom bosco;-20.443;-54.646
universidade federal de ouro preto;universidade federal de ouro preto;-20.288;-43.508
universidade federal do oeste do pará;universidade federal do oeste do pará;-2.443;-54.708
centro regional universitário de espírito santo do pinhal;centro regional universitário de espírito santo do pinhal;-22.191;-46.741
centro universitário fundação santo andré;centro universitário fundação santo andré;-23.664;-46.538
centro universitário metodista izabela hendrix;centro universitário metodista izabela hendrix;-19.817;-43.956
centro universitário nossa senhora do patrocínio;centro universitário nossa senhora do patrocínio;-23.201;-47.287
faculdade de são paulo;faculdade de são paulo;-23.548;-46.636
universidade católica de pelotas;universidade católica de pelotas;-31.772;-52.343
universidade do estado do pará;universidade do estado do pará;-1.456;-48.504
universidade santa cecília;universidade santa cecília;-23.961;-46.334
centro universitário anhanguera;centro universitário anhanguera;-23.664;-46.538
centro universitário de barra mansa;centro universitário de barra mansa;-22.544;-44.171
centro universitário de brasília;centro universitário de brasília;-15.78;-47.93
centro universitário do triângulo;centro universitário do triângulo;-18.919;-48.277
faculdade esamc sorocaba;faculdade esamc sorocaba;-23.502;-47.458
faculdade nordeste;faculdade nordeste;-3.717;-38.543
fundação universidade federal da grande dourados;fundação universidade federal da grande dourados;-22.221;-54.806
universidade camilo castelo branco;universidade camilo castelo branco;-23.548;-46.636
universidade de rio verde;universidade de rio verde;-17.798;-50.928
universidade regional integrada do alto uruguai e das missões;universidade regional integrada do alto uruguai e das missões;-27.634;-52.274
centro universitário carioca;centro universitário carioca;-22.903;-43.208
centro universitário da fundação educacional de barretos;centro universitário da fundação educacional de barretos;-20.557;-48.568
centro universitário da grande dourados;centro universitário da grande dourados;-22.221;-54.806
centro universitário de patos de minas;centro universitário de patos de minas;-18.579;-46.518
universidade do estado do rio grande do norte;universidade do estado do rio grande do norte;-5.188;-37.344
universidade do oeste de santa catarina;universidade do oeste de santa catarina;-26.725;-53.518
universidade estadual de feira de santana;universidade estadual de feira de santana;-12.267;-38.967
universidade estadual do maranhão;universidade estadual do maranhão;-2.53;-44.303
universidade fumec;universidade fumec;-19.817;-43.956
universidade iguaçu;universidade iguaçu;-22.759;-43.451
universidade severino sombra;universidade severino sombra;-22.404;-43.663
centro universitário central paulista;centro universitário central paulista;-22.018;-47.891
centro universitário leonardo da vinci;centro universitário leonardo da vinci;;
centro universitário plínio leite;centro universitário plínio leite;-22.883;-43.104
faculdades adamantinenses integradas;faculdades adamantinenses integradas;-21.685;-51.073
fundação universidade federal de rondônia;fundação universidade federal de rondônia;-8.762;-63.904
universidade estadual do centro oeste;universidade estadual do centro oeste;-25.395;-51.458
faculdade de tecnologia carlos drummond de andrade;faculdade de tecnologia carlos drummond de andrade;-23.548;-46.636
união das faculdades dos grandes lagos;união das faculdades dos grandes lagos;-20.82;-49.379
universidade estadual da paraíba;universidade estadual da paraíba;-7.231;-35.881
universidade estadual do sudoeste da bahia;universidade estadual do sudoeste da bahia;-14.866;-40.839
universidade estadual paulista júlio de mesquita filho;universidade estadual paulista júlio de mesquita filho;-22.315;-49.061
universidade federal do amapá;universidade federal do amapá;0.039;-51.066
centro universitário cesmac;centro universitário cesmac;-9.666;-35.735
centro universitário claretiano;centro universitário claretiano;;
centro universitário de anápolis;centro universitário de anápolis;-16.327;-48.953
centro universitário de sete lagoas;centro universitário de sete lagoas;-19.466;-44.247
centro universitário do leste de minas gerais;centro universitário do leste de minas gerais;-19.519;-42.629
faculdades integradas de três lagoas;faculdades integradas de três lagoas;-20.751;-51.678
universidade alto vale do rio do peixe;universidade alto vale do rio do peixe;-26.775;-51.015
universidade de ribeirão preto;universidade de ribeirão preto;-21.178;-47.81
universidade federal de são joão del rei;universidade federal de são joão del rei;-21.136;-44.262
universidade municipal de são caetano do sul;universidade municipal de são caetano do sul;-23.623;-46.551
centro universitário assunção;centro universitário assunção;-23.548;-46.636
centro universitário do sul de minas;centro universitário do sul de minas;-21.551;-45.43
centro universitário estácio do ceará;centro universitário estácio do ceará;-3.717;-38.543
centro universitário hermínio da silveira;centro universitário hermínio da silveira;-22.903;-43.208
centro universitário luterano de palmas;centro universitário luterano de palmas;-10.167;-48.333
instituto superior tupy - ist;instituto superior tupy - ist;-26.304;-48.846
universidade de cruz alta;universidade de cruz alta;-28.639;-53.606
universidade federal rural de pernambuco;universidade federal rural de pernambuco;-8.054;-34.881
centro universitário amparense;centro universitário amparense;-22.701;-46.764
centro universitário do distrito federal;centro universitário do distrito federal;-15.78;-47.93
faculdade assis gurgacz;faculdade assis gurgacz;-24.956;-53.455
faculdade campo limpo paulista;faculdade campo limpo paulista;-23.206;-46.784
faculdade regional da bahia;faculdade regional da bahia;-12.971;-38.511
faculdades integradas de fernandópolis;faculdades integradas de fernandópolis;-20.284;-50.246
universidade estadual do vale do acaraú;universidade estadual do vale do acaraú;-3.674;-40.239
universidade federal de itajubá - unifei;universidade federal de itajubá - unifei;-22.426;-45.453
universidade paranaense;universidade paranaense;-23.766;-53.325
centro universitário católico salesiano auxilium;centro universitário católico salesiano auxilium;-21.209;-50.433
centro universitário para o desenvolvimento do alto vale do itajaí;centro universitário para o desenvolvimento do alto vale do itajaí;-27.214;-49.643
centro universitário são camilo - espírito santo;centro universitário são camilo - espírito santo;-20.849;-41.113
faculdade boa viagem;faculdade boa viagem;-8.054;-34.881
faculdade pitágoras de linhares;faculdade pitágoras de linhares;-19.391;-40.072
faculdades integradas do vale do ribeira;faculdades integradas do vale do ribeira;-24.488;-47.844
faculdades integradas promove de brasilia;faculdades integradas promove de brasilia;-15.78;-47.93
faculdades opet;faculdades opet;-25.428;-49.273
universidade federal de alfenas;universidade federal de alfenas;-21.429;-45.947
universidade federal dos vales do jequitinhonha e mucuri;universidade federal dos vales do jequitinhonha e mucuri;-18.249;-43.6
universidade federal do triângulo mineiro;universidade federal do triângulo mineiro;-19.748;-47.932
centro universitário de volta redonda;centro universitário de volta redonda;-22.523;-44.104
centro universitário do cerrado-patrocínio;centro universitário do cerrado-patrocínio;-18.944;-46.993
centro universitário do espírito santo;centro universitário do espírito santo;-19.539;-40.631
centro universitário filadélfia;centro universitário filadélfia;-23.31;-51.163
centro universitário ítalo-brasileiro;centro universitário ítalo-brasileiro;-23.548;-46.636
faculdade anhanguera de anápolis;faculdade anhanguera de anápolis;-16.327;-48.953
faculdade de tecnologia e ciências;faculdade de tecnologia e ciências;-12.971;-38.511
faculdade de tecnologia tecbrasil;faculdade de tecnologia tecbrasil;-29.168;-51.179
faculdade dos guararapes;faculdade dos guararapes;-8.113;-35.015
faculdade ruy barbosa;faculdade ruy barbosa;-12.971;-38.511
faculdades integradas do brasil;faculdades integradas do brasil;-25.428;-49.273
faculdades integradas ipiranga;faculdades integradas ipiranga;-1.456;-48.504
universidade do vale do sapucaí;universidade do vale do sapucaí;-22.23;-45.936
universidade estadual de alagoas - uneal;universidade estadual de alagoas - uneal;-9.752;-36.661
universidade federal de lavras;universidade federal de lavras;-21.245;-45
universidade salgado de oliveira;universidade salgado de oliveira;-22.827;-43.054
centro universitário cândido rondon;centro universitário cândido rondon;-15.596;-56.097
centro universitário de formiga;centro universitário de formiga;-20.464;-45.426
centro universitário facvest;centro universitário facvest;-27.816;-50.326
centro universitário fundação de ensino octávio bastos - feob;centro universitário fundação de ensino octávio bastos - feob;-21.969;-46.798
centro universitário geraldo di biase;centro universitário geraldo di biase;-22.523;-44.104
centro universitário internacional;centro universitário internacional;-25.428;-49.273
centro universitário planalto do distrito federal - uniplan;centro universitário planalto do distrito federal - uniplan;-15.78;-47.93
faculdade de jaguariúna;faculdade de jaguariúna;-22.706;-46.986
faculdade pitágoras de belo horizonte;faculdade pitágoras de belo horizonte;-19.817;-43.956
faculdades integradas aparício carvalho;faculdades integradas aparício carvalho;-8.762;-63.904
fiam-faam - centro universitário;fiam-faam - centro universitário;-23.548;-46.636
fundação universidade do estado de santa catarina;fundação universidade do estado de santa catarina;-27.597;-48.549
universidade da região da campanha;universidade da região da campanha;-31.331;-54.107
universidade federal rural do semi-árido;universidade federal rural do semi-árido;-5.188;-37.344
centro universitário campos de andrade;centro universitário campos de andrade;-25.428;-49.273
centro universitário de goiás;centro universitário de goiás;-16.679;-49.254
centro universitário facex;centro universitário facex;-5.795;-35.209
centro universitário luterano de manaus;centro universitário luterano de manaus;-3.102;-60.025
centro universitário metropolitano de são paulo;centro universitário metropolitano de são paulo;-23.463;-46.533
centro universitário módulo;centro universitário módulo;-23.62;-45.413
centro universitário são camilo;centro universitário são camilo;-23.548;-46.636
conservatório brasileiro de música - centro universitário;conservatório brasileiro de música - centro universitário;-22.903;-43.208
escola superior da amazônia;escola superior da amazônia;-1.456;-48.504
faculdade anhanguera de são caetano;faculdade anhanguera de são caetano;-23.623;-46.551
faculdade esamc campinas;faculdade esamc campinas;-22.906;-47.061
faculdade gama e souza;faculdade gama e souza;-22.903;-43.208
faculdade integrada da grande fortaleza;faculdade integrada da grande fortaleza;-3.717;-38.543
faculdade metropolitana da grande recife;faculdade metropolitana da grande recife;-8.113;-35.015
universidade de itaúna;universidade de itaúna;-20.075;-44.576
universidade estadual do oeste do paraná;universidade estadual do oeste do paraná;-24.956;-53.455
centro universitário - católica de santa catarina em jaraguá do sul;centro universitário - católica de santa catarina em jaraguá do sul;-26.486;-49.067
centro universitário de ensino superior do amazonas;centro universitário de ensino superior do amazonas;-3.102;-60.025
centro universitário franciscano do paraná;centro universitário franciscano do paraná;-25.428;-49.273
centro universitário luterano de ji-paraná;centro universitário luterano de ji-paraná;-10.882;-61.944
centro universitário ritter dos reis;centro universitário ritter dos reis;-30.033;-51.23
centro universitário toledo;centro universitário toledo;-21.209;-50.433
faculdade da serra gaúcha;faculdade da serra gaúcha;-29.168;-51.179
faculdade de americana;faculdade de americana;-22.739;-47.331
faculdade de tecnologia de são josé dos campos;faculdade de tecnologia de são josé dos campos;-23.179;-45.887
faculdade educacional de araucária;faculdade educacional de araucária;-25.593;-49.41
faculdade estácio do recife - estácio fir;faculdade estácio do recife - estácio fir;-8.054;-34.881
faculdade maurício de nassau de salvador;faculdade maurício de nassau de salvador;-12.971;-38.511
faculdades integradas claretianas;faculdades integradas claretianas;-22.411;-47.561
instituto de estudos superiores da amazônia;instituto de estudos superiores da amazônia;-1.456;-48.504
instituto federal de educação, ciência e tecnologia do ceará;instituto federal de educação, ciência e tecnologia do ceará;-3.717;-38.543
instituto unificado de ensino superior objetivo;instituto unificado de ensino superior objetivo;-16.679;-49.254
universidade do contestado;universidade do contestado;-26.177;-50.39
universidade vale do rio verde;universidade vale do rio verde;-21.697;-45.253
centro de ensino superior de juiz de fora;centro de ensino superior de juiz de fora;-21.764;-43.35
centro universitário capital;centro universitário capital;-23.548;-46.636
centro universitário da fundação educacional guaxupé;centro universitário da fundação educacional guaxupé;-21.305;-46.713
centro universitário de caratinga;centro universitário de caratinga;-19.79;-42.139
centro universitário unifafibe;centro universitário unifafibe;-20.949;-48.479
faculdade anchieta;faculdade anchieta;-23.694;-46.565
faculdade de tecnologia interamérica;faculdade de tecnologia interamérica;-23.548;-46.636
faculdade estácio de sá de belo horizonte;faculdade estácio de sá de belo horizonte;-19.817;-43.956
faculdade ingá;faculdade ingá;-23.425;-51.939
faculdade nossa cidade;faculdade nossa cidade;-23.523;-46.836
faculdade politécnica de campinas;faculdade politécnica de campinas;-22.906;-47.061
faculdades atibaia;faculdades atibaia;-23.117;-46.55
faculdades integradas de santa fé do sul;faculdades integradas de santa fé do sul;-20.211;-50.926
faculdade sul brasil;faculdade sul brasil;-24.714;-53.743
faculdade uirapuru;faculdade uirapuru;-23.502;-47.458
fundação universidade federal do tocantins;fundação universidade federal do tocantins;-10.167;-48.333
universidade estadual de goiás;universidade estadual de goiás;-16.327;-48.953
universidade são francisco;universidade são francisco;-22.952;-46.542
centro universitário das faculdades associadas de ensino - fae;centro universitário das faculdades associadas de ensino - fae;-21.969;-46.798
centro universitário de lavras;centro universitário de lavras;-21.245;-45
centro universitário de lins;centro universitário de lins;-21.679;-49.743
centro universitário do estado do pará;centro universitário do estado do pará;-1.456;-48.504
centro universitário do instituto de ensino superior coc;centro universitário do instituto de ensino superior coc;-21.178;-47.81
centro universitário do planalto de araxá;centro universitário do planalto de araxá;-19.593;-46.941
centro universitário paulistano;centro universitário paulistano;-23.548;-46.636
faculdade anhanguera de joinville;faculdade anhanguera de joinville;-26.304;-48.846
faculdade anhangüera de são josé;faculdade anhangüera de são josé;-23.179;-45.887
faculdade anhanguera de taubaté;faculdade anhanguera de taubaté;-23.026;-45.555
faculdade de ciências biomédicas de cacoal;faculdade de ciências biomédicas de cacoal;-11.438;-61.448
faculdade dinâmica das cataratas;faculdade dinâmica das cataratas;-25.548;-54.588
faculdade flamingo;faculdade flamingo;-23.548;-46.636
faculdade maurício de nassau de maceió;faculdade maurício de nassau de maceió;-9.666;-35.735
faculdade metropolitana de manaus;faculdade metropolitana de manaus;-3.102;-60.025
faculdade presidente antônio carlos de bom despacho;faculdade presidente antônio carlos de bom despacho;-19.736;-45.252
faculdades integradas são pedro;faculdades integradas são pedro;-20.319;-40.338
fundação universidade federal do abc;fundação universidade federal do abc;-23.664;-46.538
instituto federal de educação, ciência e tecnologia de goiás;instituto federal de educação, ciência e tecnologia de goiás;-16.679;-49.254
instituto federal de educação, ciência e tecnologia do pará;instituto federal de educação, ciência e tecnologia do pará;-1.456;-48.504
universidade estadual de mato grosso do sul;universidade estadual de mato grosso do sul;-22.221;-54.806
centro universitário barriga verde;centro universitário barriga verde;-28.359;-49.291
centro universitário de brusque;centro universitário de brusque;-27.098;-48.918
centro universitário de itajubá;centro universitário de itajubá;-22.426;-45.453
centro universitário de jales;centro universitário de jales;-20.269;-50.546
centro universitário de joão pessoa;centro universitário de joão pessoa;-7.115;-34.863
centro universitário moacyr sreder bastos;centro universitário moacyr sreder bastos;-22.903;-43.208
faculdade alvorada de educação física e desporto;faculdade alvorada de educação física e desporto;-15.78;-47.93
faculdade anhaguera de jundiaí;faculdade anhaguera de jundiaí;-23.186;-46.884
faculdade ateneu;faculdade ateneu;-3.717;-38.543
faculdade brasileira;faculdade brasileira;-20.319;-40.338
faculdade católica salesiana do espírito santo;faculdade católica salesiana do espírito santo;-20.319;-40.338
faculdade de ciências aplicadas de cascavel;faculdade de ciências aplicadas de cascavel;-24.956;-53.455
faculdade metropolitana de blumenau;faculdade metropolitana de blumenau;-26.919;-49.066
faculdade montes belos;faculdade montes belos;-16.525;-50.372
faculdade novo milênio;faculdade novo milênio;-20.33;-40.292
faculdade pitágoras de divinópolis - fpd;faculdade pitágoras de divinópolis - fpd;-20.139;-44.884
faculdade pitágoras de londrina;faculdade pitágoras de londrina;-23.31;-51.163
faculdades integradas de taquara;faculdades integradas de taquara;-29.651;-50.781
instituto federal de educação, ciência e tecnologia de são paulo;instituto federal de educação, ciência e tecnologia de são paulo;-23.548;-46.636
instituto federal de educação, ciência e tecnologia do paraná;instituto federal de educação, ciência e tecnologia do paraná;-26.484;-51.991
universidade federal da integração latino-americana;universidade federal da integração latino-americana;-25.548;-54.588
universidade federal do recôncavo da bahia;universidade federal do recôncavo da bahia;-12.67;-39.102
universidade metropolitana de santos;universidade metropolitana de santos;;
universidade presidente antônio carlos;universidade presidente antônio carlos;-21.226;-43.774
centro universitário anhanguera de campo grande;centro universitário anhanguera de campo grande;-20.443;-54.646
centro universitário celso lisboa;centro universitário celso lisboa;-22.903;-43.208
centro universitário fluminense;centro universitário fluminense;-21.754;-41.324
centro universitário salesiano de são paulo;centro universitário salesiano de são paulo;-22.731;-45.125
centro universitário serra dos órgãos;centro universitário serra dos órgãos;-22.412;-42.966
faculdade anhanguera de belo horizonte;faculdade anhanguera de belo horizonte;-19.817;-43.956
faculdade anhanguera de osasco;faculdade anhanguera de osasco;-23.533;-46.792
faculdade anhanguera de santa bárbara;faculdade anhanguera de santa bárbara;-22.754;-47.414
faculdade de presidente prudente;faculdade de presidente prudente;-22.126;-51.389
faculdade do vale do ipojuca;faculdade do vale do ipojuca;-8.283;-35.976
faculdade estácio de sá de juiz de fora;faculdade estácio de sá de juiz de fora;-21.764;-43.35
faculdade integrada metropolitana de campinas;faculdade integrada metropolitana de campinas;-22.906;-47.061
faculdade pitágoras de betim;faculdade pitágoras de betim;-19.968;-44.198
faculdade pitágoras de uberlândia;faculdade pitágoras de uberlândia;-18.919;-48.277
faculdade presidente antônio carlos de teófilo otoni;faculdade presidente antônio carlos de teófilo otoni;-17.858;-41.505
faculdade santa marcelina;faculdade santa marcelina;-23.548;-46.636
faculdade santa rita;faculdade santa rita;-20.66;-43.786
faculdade santo agostinho;faculdade santo agostinho;-5.089;-42.802
faculdades integradas dos campos gerais;faculdades integradas dos campos gerais;-25.095;-50.162
faculdades integradas rio branco;faculdades integradas rio branco;-23.548;-46.636
faculdades oswaldo cruz;faculdades oswaldo cruz;-23.548;-46.636
instituto federal de educação, ciência e tecnologia fluminense;instituto federal de educação, ciência e tecnologia fluminense;-21.754;-41.324
universidade estadual do norte fluminense darcy ribeiro;universidade estadual do norte fluminense darcy ribeiro;-21.754;-41.324
centro universitário adventista de são paulo;centro universitário adventista de são paulo;-23.548;-46.636
centro universitário da faculdade de saúde, ciências humanas e tecnológicas do piauí;centro universitário da faculdade de saúde, ciências humanas e tecnológicas do piauí;-5.089;-42.802
centro universitário da fundação educacional inaciana pe sabóia de medeiros;centro universitário da fundação educacional inaciana pe sabóia de medeiros;-23.694;-46.565
centro universitário de araras -;centro universitário de araras -;-22.357;-47.384
centro universitário de desenvolvimento do centro-oeste;centro universitário de desenvolvimento do centro-oeste;-16.253;-47.95
centro universitário de união da vitória;centro universitário de união da vitória;-26.23;-51.086
