id16, interval
5707205695088567, 6
5143109907448539, 9
7146095720621925, 15
8188066843033561, 2
9812281879332304, 5
2399120244268174, 2
1049207414923116, 7
7641170265582884, 9
0196895425207525, 8
1032517586232023, 8
2294602229519458, 2
1003555272332792, 6
6886467473978108, 16
4960466120713243, 2
0978941904008636, 16
5102143522862311, 7
2500487755606951, 10
5162015717111042, 2
9999733424789050, 6
1818529453459251, 7
9496325910492612, 14
3187491345404438, 2
4149901307578307, 2
8407361148875253, 11
5029852754162271, 3
8911344289557965, 16
1778700728751208, 3
8918020972394590, 11
6414767308779045, 2
8637842729849089, 4
3320282857515131, 10
9482505647104898, 7
2802999436488138, 10
1940548098031798, 6
3366259135350830, 11
3013640058442152, 6
5950836501720915, 3
3519380803739395, 6
5490416588107422, 3
4658996761755732, 9
1065214321071418, 28
4889326438502457, 2
6096277207337997, 10
6219010579165633, 8
1178869575905526, 2
6722813997689786, 23
0841456750330864, 7
6160576219763423, 6
7535029901615014, 7
9919932195322006, 19
6949038971939847, 11
8906770743620827, 2
7532198015933000, 6
9515083098527369, 6
0098820115397971, 2
6395424430994260, 13
3435977582574621, 16
6757623939242803, 28
7722538544959705, 8
8440681909991004, 5
5933444737764967, 20
6697012971744731, 11
9954987349660667, 11
9478249513404350, 12
6288881277558283, 4
5490420020353667, 7
4747964359514491, 2
3219352842527946, 2
6298676679523246, 2
1910300157852169, 2
9711614709394548, 6
6737184006683111, 18
0518380003682699, 31
0258612265619726, 19
2334530978034205, 6
2189821668150865, 8
2631610079464320, 7
7632110751070299, 4
1625164543906424, 9
4196497919136229, 14
1143692356460921, 13
0541781986092433, 9
9128328286908246, 8
0090804012365040, 5
0100900666337016, 7
3237941852114909, 9
1816469354724183, 10
5481355832257570, 30
8074140112961583, 7
2334330311406818, 10
3188878343231614, 2
8521588947381085, 7
0939890227030132, 14
6947094106086321, 6
9949638217156406, 2
4296719578633963, 14
8696789481546418, 2
1932778477283611, 6
1665502227254726, 3
8980181674484723, 20
8475950677305143, 4
2043957360326815, 7
4512891114205294, 5
7084273084498112, 11
4265377547444219, 18
8072429226472584, 2
2459375682937699, 11
3045699353201949, 3
5404943814222589, 19
8354338109436302, 3
0623440043568856, 7
9021723203921809, 11
1670758318835776, 14
8013863352635494, 8
6324790827842684, 4
5057429709988793, 4
5519055689277401, 10
7818501776379241, 18
6502797069607275, 9
7888943912007608, 24
2495148628056349, 7
0704796694712785, 3
4375232042467360, 3
1690074472297033, 8
1247530630411090, 3
2966171629279069, 4
6649977294511909, 2
9779985052180640, 2
5794119392714925, 14
6479505422294498, 7
2447428113787389, 16
9825086157764464, 4
0216250252557428, 10
5913360680321414, 2
0483602747631661, 12
1575515014882260, 6
8951163088992771, 2
7471346175528189, 6
2701388610299929, 8
7144714344035087, 3
7460030190738886, 2
8358341726243020, 6
0947068142266410, 14
5346328957613093, 14
2684148758699593, 12
9033773040322173, 4
9382028948438512, 4
1031023823121360, 7
0037079253908368, 3
2903556685487992, 16
9603741951259577, 10
4511576573949347, 3
0641067483945380, 3
8062245626803864, 20
6000312315728879, 4
4532827366706566, 10
6517041100201956, 5
8329805306861328, 15
6591126589854656, 8
0977189636155186, 5
8185978844335397, 6
1964254017976193, 6
1405422535034318, 14
0914909174927158, 5
4175376265063250, 16
0227586508048546, 25
0764209359451049, 12
