Id;Label;rank;Modularity Class;City;State;Country;Latitude;Longitude;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree
2100;santa rosa;;city;santa rosa;la pampa;argentina;-3.661.667;-6.428.333;0;0;0;0.0;0.0;0.0
2120;mar del plata;;city;mar del plata;buenos aires;argentina;-3.800.228;-5.755.754;0;0;0;0.0;0.0;0.0
2184;rosario;;city;rosario;santa fe;argentina;-3.294.682;-6.063.932;0;0;0;0.0;0.0;0.0
2266;santiago del estero;;city;santiago del estero;santiago del estero;argentina;-2.779.511;-6.426.149;0;0;0;0.0;0.0;0.0
2360;gualeguay;;city;gualeguay;entre rÃ_os;argentina;-3.314.156;-5.930.966;0;0;0;0.0;0.0;0.0
2394;san salvador de jujuy;;city;san salvador de jujuy;jujuy;argentina;-2.419.457;-6.529.712;0;0;0;0.0;0.0;0.0
2420;tandil;;city;tandil;buenos aires;argentina;-3.732.167;-5.913.316;0;0;0;0.0;0.0;0.0
2488;cipolletti;;city;cipolletti;rÃ_o negro;argentina;-3.893.392;-6.799.032;0;0;0;0.0;0.0;0.0
2562;neuquen;;city;neuquen;neuquÃ©n;argentina;-3.895.161;-680.591;0;0;0;0.0;0.0;0.0
2588;san juan;;city;san juan;san juan;argentina;-315.375;-6.853.639;0;0;0;0.0;0.0;0.0
2654;morteros;;city;morteros;cÃ_rdoba;argentina;-3.071.164;-6.199.862;0;0;0;0.0;0.0;0.0
2674;san luis;;city;san luis;san luis;argentina;-3.329.501;-6.633.563;0;0;0;0.0;0.0;0.0
2726;resistencia;;city;resistencia;chaco;argentina;-2.746.056;-5.898.389;0;0;0;0.0;0.0;0.0
3707;olavarria;;city;olavarria;buenos aires;argentina;-3.689.272;-6.032.254;0;0;0;0.0;0.0;0.0
3865;mendoza;;city;mendoza;mendoza;argentina;-3.289.084;-6.882.717;0;0;0;0.0;0.0;0.0
3872;campana;;city;campana;buenos aires;argentina;-3.416.874;-5.895.914;0;0;0;0.0;0.0;0.0
3892;villa maria;;city;villa maria;cÃ_rdoba;argentina;-3.240.751;-6.324.016;0;0;0;0.0;0.0;0.0
3926;junin;;city;junin;buenos aires;argentina;-3.458.382;-6.094.332;0;0;0;0.0;0.0;0.0
3956;corrientes;;city;corrientes;corrientes;argentina;-274.806;-588.341;0;0;0;0.0;0.0;0.0
3975;firmat;;city;firmat;santa fe;argentina;-3.345.937;-614.832;0;0;0;0.0;0.0;0.0
3989;montecarlo;;city;montecarlo;misiones;argentina;-265.662;-54.757;0;0;0;0.0;0.0;0.0
4006;san rafael;;city;san rafael;mendoza;argentina;-3.461.772;-6.833.007;0;0;0;0.0;0.0;0.0
4008;reconquista;;city;reconquista;santa fe;argentina;-29.15;-59.65;0;0;0;0.0;0.0;0.0
4011;concordia;;city;concordia;entre rÃ_os;argentina;-3.139.296;-5.802.089;0;0;0;0.0;0.0;0.0
4018;anatuya;;city;anatuya;santiago del estero;argentina;-2.846.064;-6.283.472;0;0;0;0.0;0.0;0.0
4033;cosquin;;city;cosquin;cÃ_rdoba;argentina;-3.124.508;-6.446.563;0;0;0;0.0;0.0;0.0
4041;comodoro rivadavia;;city;comodoro rivadavia;chubut;argentina;-4.586.413;-6.749.656;0;0;0;0.0;0.0;0.0
4083;san miguel de tucuman;;city;san miguel de tucuman;tucumÃ¡n;argentina;-2.682.414;-652.226;0;0;0;0.0;0.0;0.0
4638;la calera;;city;la calera;cÃ_rdoba;argentina;-3.134.377;-6.433.529;0;0;0;0.0;0.0;0.0
4652;rafaela;;city;rafaela;santa fe;argentina;-3.125.033;-614.867;0;0;0;0.0;0.0;0.0
4690;villaguay;;city;villaguay;entre rÃ_os;argentina;-318.653;-5.902.689;0;0;0;0.0;0.0;0.0
4723;salta;;city;salta;salta;argentina;-247.859;-6.541.166;0;0;0;0.0;0.0;0.0
4742;marcos juarez;;city;marcos juarez;cÃ_rdoba;argentina;-326.978;-6.210.672;0;0;0;0.0;0.0;0.0
4793;canada de gomez;;city;canada de gomez;santa fe;argentina;-3.281.636;-6.139.493;0;0;0;0.0;0.0;0.0
4800;pergamino;;city;pergamino;buenos aires;argentina;-3.388.995;-6.057.357;0;0;0;0.0;0.0;0.0
