Source,Target,Kind,Type,Id,Label,Weight,distance
111,2,degree,Directed,64637,,1,489931.98240375536
641,284,degree,Directed,64638,,5,175697.586798321
880,418,degree,Directed,64639,,28,490420.4239557101
284,287,degree,Directed,64640,,364,0.0
766,290,degree,Directed,64641,,35,96871.96972477961
487,2,degree,Directed,64642,,16,379549.59357093327
641,283,degree,Directed,64643,,3,175697.586798321
283,341,degree,Directed,64644,,1,1083058.8357854246
341,2,degree,Directed,64645,,6,1317012.2300596
768,2,degree,Directed,64647,,6,1165418.419766465
287,79,degree,Directed,64648,,1,339340.457540728
79,458,degree,Directed,64649,,2,853893.6379324811
458,284,degree,Directed,64650,,6,547660.8156245248
18,777,degree,Directed,64651,,506,213536.60009276716
777,260,degree,Directed,64652,,335,125066.39149675774
488,464,degree,Directed,64654,,142,251799.82182463096
488,488,degree,Directed,64655,,3151,0.0
464,458,degree,Directed,64656,,1298,0.0
921,921,degree,Directed,64657,,10,0.0
705,2,degree,Directed,64658,,45,2987318.751413373
323,34,degree,Directed,64659,,13,875282.4330440378
34,323,degree,Directed,64660,,10,875282.4330440378
458,908,degree,Directed,64661,,15,120652.63368526148
908,2,degree,Directed,64662,,23,446240.5774241376
2,908,degree,Directed,64663,,5,446240.5774241376
738,738,degree,Directed,64664,,56,0.0
738,2,degree,Directed,64665,,4,2814356.3755454407
270,2,degree,Directed,64666,,7,590253.4365256573
648,2,degree,Directed,64668,,21,311319.5226123816
489,488,degree,Directed,64671,,69,0.0
304,488,degree,Directed,64673,,1,651536.8981350496
488,286,degree,Directed,64674,,3,651536.8981350496
286,2,degree,Directed,64675,,4,251990.60245042332
48,2,degree,Directed,64676,,8,489931.98240375536
699,699,degree,Directed,64677,,425,0.0
699,2,degree,Directed,64678,,12,2826807.493625254
309,2,degree,Directed,64679,,1,251990.60245042332
749,2,degree,Directed,64681,,14,2193936.2885246105
570,570,degree,Directed,64682,,3917,0.0
570,432,degree,Directed,64683,,179,630428.6577728481
432,2,degree,Directed,64684,,59,2608299.8781425413
446,432,degree,Directed,64686,,61,0.0
829,829,degree,Directed,64689,,80,0.0
899,899,degree,Directed,64691,,52,0.0
899,2,degree,Directed,64692,,36,144829.54440303062
669,669,degree,Directed,64693,,1618,0.0
669,18,degree,Directed,64694,,549,463134.07072692836
290,290,degree,Directed,64695,,286,0.0
2,10,degree,Directed,64696,,1,0.0
847,847,degree,Directed,64697,,736,0.0
705,706,degree,Directed,64698,,120,0.0
706,287,degree,Directed,64699,,18,2738932.95906982
1034,1034,degree,Directed,64700,,17,0.0
1034,2,degree,Directed,64701,,8,1184190.160410895
2,1049,degree,Directed,64702,,2,1157344.1844687762
458,464,degree,Directed,64704,,808,0.0
620,2,degree,Directed,64705,,15,1217548.9890604122
18,287,degree,Directed,64706,,154,339340.457540728
571,641,degree,Directed,64710,,2,2797326.9076474113
641,564,degree,Directed,64711,,3,2642698.507387451
487,766,degree,Directed,64712,,10,134696.13108302746
619,620,degree,Directed,64713,,74,0.0
8,8,degree,Directed,64714,,200,0.0
412,409,degree,Directed,64715,,92,0.0
409,564,degree,Directed,64716,,39,1639476.7354940206
564,18,degree,Directed,64717,,341,2220368.7111123037
159,172,degree,Directed,64718,,789,0.0
2,861,degree,Directed,64719,,5,176820.5221163721
564,564,degree,Directed,64720,,3249,0.0
287,287,degree,Directed,64721,,4530,0.0
287,669,degree,Directed,64722,,59,303828.71660426975
593,458,degree,Directed,64723,,31,606325.6328277696
8,418,degree,Directed,64724,,14,543246.0614440286
2,167,degree,Directed,64727,,4,749606.3361527188
167,2,degree,Directed,64728,,11,749606.3361527188
14,18,degree,Directed,64729,,237,306710.4172321756
362,159,degree,Directed,64730,,16,1212039.7811230305
159,2,degree,Directed,64731,,116,749606.3361527188
766,488,degree,Directed,64732,,4,625000.5952613144
823,2,degree,Directed,64733,,15,364502.6839450495
593,487,degree,Directed,64734,,6,207035.7625706616
961,961,degree,Directed,64735,,40,0.0
961,2,degree,Directed,64736,,4,680229.885369371
840,2,degree,Directed,64738,,2,735385.0129810255
641,297,degree,Directed,64739,,3,175697.586798321
297,2,degree,Directed,64740,,31,251990.60245042332
2,627,degree,Directed,64741,,7,2406346.887568487
2,50,degree,Directed,64742,,3,489931.98240375536
50,50,degree,Directed,64743,,2,0.0
50,2,degree,Directed,64744,,10,489931.98240375536
763,186,degree,Directed,64745,,1,354330.4402901437
458,18,degree,Directed,64747,,671,853893.6379324811
603,159,degree,Directed,64748,,17,1214143.6968020287
442,432,degree,Directed,64749,,411,0.0
287,290,degree,Directed,64750,,109,0.0
290,18,degree,Directed,64751,,37,339340.457540728
880,717,degree,Directed,64752,,3,484785.5125218658
830,2,degree,Directed,64753,,1,2645820.2595705446
