Source,Target,Kind,Type,Id,Label,Weight,distance
27,952,degree,Directed,66933,,2,10438396.445337076
27,558,degree,Directed,66949,,2,8394090.917239958
27,538,degree,Directed,66971,,5,8806503.888398755
27,479,degree,Directed,66973,,3,7694022.784231596
314,849,degree,Directed,66998,,1,7694211.646533403
27,537,degree,Directed,67018,,4,8806503.888398755
27,354,degree,Directed,67019,,6,7757620.623248219
111,1028,degree,Directed,67022,,1,8451822.980076257
27,519,degree,Directed,67025,,6,9411895.135853764
27,1031,degree,Directed,67036,,3,8338065.9574770555
352,595,degree,Directed,67049,,1,8051410.495013404
27,5,degree,Directed,67069,,1,8221927.618275995
27,659,degree,Directed,67070,,35,7957638.796738484
27,900,degree,Directed,67092,,6,8452870.91540307
454,611,degree,Directed,67101,,4,10433141.473147428
361,608,degree,Directed,67114,,8,6764189.407057827
168,802,degree,Directed,67118,,9,10602628.742682403
418,608,degree,Directed,67138,,17,8161533.258615299
620,650,degree,Directed,67151,,1,7814611.66917275
418,915,degree,Directed,67155,,5,8022381.269501072
409,678,degree,Directed,67182,,1,4990587.090857911
47,790,degree,Directed,67196,,1,7638879.672692402
361,539,degree,Directed,67216,,7,7351423.822249275
603,960,degree,Directed,67218,,1,9582029.966651883
34,979,degree,Directed,67230,,1,10468601.63021718
418,1129,degree,Directed,67236,,7,9623531.553499049
36,587,degree,Directed,67246,,1,9487508.456977606
454,668,degree,Directed,67281,,7,7748888.401240567
435,827,degree,Directed,67292,,1,7655184.213783227
435,3,degree,Directed,67294,,1,6759476.509117639
42,678,degree,Directed,67297,,1,7045876.682435987
458,518,degree,Directed,67355,,30,10265542.070083896
378,688,degree,Directed,67373,,6,7810368.284286031
159,520,degree,Directed,67380,,11,9178592.599910362
47,870,degree,Directed,67388,,1,8126266.811739297
159,519,degree,Directed,67404,,22,9178592.599910362
47,665,degree,Directed,67417,,1,7957638.796738484
237,659,degree,Directed,67424,,3,7603813.489842439
166,3,degree,Directed,67426,,8,7743381.484152663
