"Source";"Target";"Kind";"Type";"Id";"Label";"Weight";"distance"
"50";"50";"degree";"Directed";"64743";"";"2";"0,0"
"50";"2";"degree";"Directed";"64744";"";"10";"489931,98240375536"
"763";"186";"degree";"Directed";"64745";"";"1";"354330,4402901437"
"186";"4";"degree";"Directed";"64746";"";"1";"8021600,413404663"
"458";"18";"degree";"Directed";"64747";"";"671";"853893,6379324811"
"603";"159";"degree";"Directed";"64748";"";"17";"1214143,6968020287"
"442";"432";"degree";"Directed";"64749";"";"411";"0,0"
"287";"290";"degree";"Directed";"64750";"";"109";"0,0"
"290";"18";"degree";"Directed";"64751";"";"37";"339340,457540728"
"880";"717";"degree";"Directed";"64752";"";"3";"484785,5125218658"
"830";"2";"degree";"Directed";"64753";"";"1";"2645820,2595705446"
"592";"458";"degree";"Directed";"64754";"";"60";"1330005,831224042"
"284";"294";"degree";"Directed";"64755";"";"6";"0,0"
"294";"2";"degree";"Directed";"64756";"";"20";"251990,60245042332"
"2";"608";"degree";"Directed";"64757";"";"14";"8689958,75025993"
"1090";"442";"degree";"Directed";"64758";"";"3";"123321,63724420019"
"432";"18";"degree";"Directed";"64759";"";"506";"2132562,0241881916"
"773";"458";"degree";"Directed";"64760";"";"2";"879792,2778614626"
"885";"2";"degree";"Directed";"64761";"";"41";"534707,0053993053"
"570";"2";"degree";"Directed";"64762";"";"72";"2862871,544423393"
"378";"159";"degree";"Directed";"64763";"";"348";"352172,94434911764"
"921";"1000";"degree";"Directed";"64764";"";"5";"317658,4317457815"
"1000";"2";"degree";"Directed";"64765";"";"49";"501591,60026047524"
"847";"458";"degree";"Directed";"64766";"";"196";"237774,25781766523"
"2";"880";"degree";"Directed";"64767";"";"27";"91180,22946795612"
"880";"882";"degree";"Directed";"64768";"";"1";"10080234,081250057"
"882";"2";"degree";"Directed";"64769";"";"1";"10126040,502515517"
"2";"589";"degree";"Directed";"64770";"";"5";"1546512,9898657226"
"717";"928";"degree";"Directed";"64771";"";"11";"146395,63729956417"
"928";"642";"degree";"Directed";"64772";"";"1";"269651,464324694"
"642";"2";"degree";"Directed";"64773";"";"3";"673121,9590368198"
"620";"378";"degree";"Directed";"64774";"";"6";"660018,0172417786"
