source,target,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
centro-oeste,sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,6,1,4,7,3,2,8,3,10,11,16,16,15,16,15,33,18,31
centro-oeste,sudeste,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,2,0,3,3,0,3,3,3,3,4,3,4,10,5,9,9,12,15,12,19,21,20,37,37,41,48,46,44,76,96,81,84,113,102,99,105,113,132,137,151,183
centro-oeste,centro-oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,3,2,0,1,5,7,10,7,14,22,28,23,62,59,66,75,124,132,147,219,212,274,302,292,359,437,566
centro-oeste,nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,3,4,3,10,4,8,10,7,14,12,16,24,19
centro-oeste,norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,6,5,4,1,5,2
nordeste,sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,2,1,2,2,10,9,6,9,11,16,30,26,37,30,38,30,33,39,25,35,40,36,53
nordeste,sudeste,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,1,1,1,7,1,0,7,3,0,2,9,7,7,12,10,11,18,11,17,24,21,46,47,44,38,79,48,73,102,137,132,188,194,203,242,209,234,196,180,199,205,264,264,306,379
nordeste,centro-oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,2,2,3,4,3,4,6,7,11,9,16,12,12,13,20,20,19,24,29
nordeste,nordeste,0,0,0,1,1,2,1,0,4,1,1,5,1,2,1,0,0,1,2,1,0,2,1,0,2,1,2,4,4,0,1,3,4,1,2,3,6,3,11,4,7,10,8,17,15,24,47,80,78,125,163,224,281,441,500,580,634,751,846,983,1039,1250,1479,1640
nordeste,norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,2,2,2,3,4,2,3,9,10,12,10,16,19,15
norte,sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,4,1,1,3,3,4,5,2,3,12,8,7,6,10,14,10
norte,sudeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3,1,1,2,2,2,3,0,3,5,5,6,6,3,4,10,7,11,6,14,25,21,28,30,45,57,42,51,44,44,43,73,68,82,101
norte,centro-oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,3,3,2,2,3,3,4,7,8,10,8,14
norte,nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,4,5,5,3,4,7,6,10,24,7,14,15
norte,norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,3,0,3,4,1,1,3,2,3,6,3,3,8,15,11,6,13,18,22,27,31,24,41,65,67,67,98,111,157,171,202
